pair,label,split,seed,direction,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
db15k_mhyper_native,D-N,dev_oof,2,head,non_ties,7922,6757,0.8529411764705882,626,0.09264466479206748,0.006341571703418679,96,295,0.014207488530412905,0.04365842829658132,0.00014316508430782009,0.000122111395439023,0.0002703078169677517,0.019025728325532277
db15k_mhyper_native,D-N,dev_oof,2,tail,non_ties,7922,5545,0.6999495077000757,34,0.0061316501352569885,0.0005770964833183048,9,11,0.0016230838593327321,0.0019837691614066726,0.00013266976708761492,9.286213815965977e-05,3.7151786917204616e-06,0.0022889628717322175
db15k_mhyper_native,D-N,dev_oof,3,head,non_ties,7922,6786,0.8566018682150972,1959,0.28868258178603007,0.02657677571470675,413,987,0.06086059534335397,0.14544650751547303,-0.00053050921057301,-0.00045443518088215674,0.00212571720444517,0.03492764394519353
db15k_mhyper_native,D-N,dev_oof,3,tail,non_ties,7922,5589,0.7055036606917445,188,0.033637502236536054,0.0022991590624440875,19,70,0.003399534800500984,0.012524601896582574,0.0001098151255475364,7.747497307311045e-05,6.953396778799026e-05,0.02045396557721461
db15k_mhyper_native,D-N,test,1,head,all,9902,9902,1.0,1235,0.12472227832761058,0.01260351444152696,229,495,0.023126641082609575,0.04998990103009493,-0.00021661664903475242,-0.00021661664903475242,0.0009456498191325884,0.04089006335830082
db15k_mhyper_native,D-N,test,1,tail,all,9902,9902,1.0,50,0.005049484952534842,0.0005352454049686931,5,21,0.0005049484952534841,0.0021207836800646333,1.5804648919224822e-05,1.5804648919224822e-05,5.502122322307184e-07,0.0010896403047097147
db15k_mhyper_native,D-N,test,2,head,all,9902,9902,1.0,421,0.042516663300343364,0.0043021611795596845,81,186,0.008180165623106443,0.01878408402342961,-5.8391917720076395e-05,-5.8391917720076395e-05,0.00030792844228056716,0.037643301672372544
db15k_mhyper_native,D-N,test,2,tail,all,9902,9902,1.0,35,0.003534639466774389,0.0003736618864875782,1,19,0.00010098969905069682,0.0019188042819632397,7.754887330702302e-05,7.754887330702302e-05,5.822403539206729e-10,5.765343984522503e-06
db15k_mhyper_native,D-N,test,3,head,all,9902,9902,1.0,2826,0.2853968895172692,0.028761866289638453,509,1256,0.05140375681680469,0.12684306200767523,-0.00028804544277247636,-0.00028804544277247636,0.0023636856164312224,0.045982740616703266
db15k_mhyper_native,D-N,test,3,tail,all,9902,9902,1.0,111,0.011209856594627348,0.0011512825691779437,21,42,0.0021207836800646333,0.004241567360129267,-1.763904048414825e-05,-1.763904048414825e-05,8.696814724154736e-05,0.041007552094562
db15k_mhyper_native,D-N,test,1,head,ties,9902,1431,0.14451625934154716,226,0.15793151642208245,0.015863032844164918,2,2,0.001397624039133473,0.001397624039133473,0.0002678779408339156,3.871271796943377e-05,0.00013976240391334733,0.10000000000000002
db15k_mhyper_native,D-N,test,1,tail,ties,9902,2934,0.2963037770147445,5,0.0017041581458759373,0.00018745739604635308,0,1,0.0,0.00034083162917518747,2.840263576459895e-05,8.415808254224734e-06,0.0,
db15k_mhyper_native,D-N,test,2,head,ties,9902,1393,0.14067865077762068,63,0.04522613065326633,0.004558506819813351,2,1,0.0014357501794687725,0.0007178750897343862,1.0410742643334153e-05,1.464569228657289e-06,2.548301184338515e-05,0.017748917748917757
db15k_mhyper_native,D-N,test,2,tail,ties,9902,2893,0.2921631993536659,1,0.0003456619426201175,3.4566194262011744e-05,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_native,D-N,test,3,head,ties,9902,1406,0.14199151686527975,489,0.34779516358463725,0.035028449502133706,8,18,0.005689900426742532,0.012802275960170697,0.00133639391889818,0.0001897565996738882,0.0006057242899348163,0.10645604395604395
db15k_mhyper_native,D-N,test,3,tail,ties,9902,2775,0.2802464148656837,13,0.0046846846846846845,0.00048648648648648635,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_native,D-N,test,1,head,non_ties,9902,8471,0.8554837406584528,1009,0.11911226537598867,0.012052886318026205,227,493,0.02679730846417188,0.058198559792232325,-0.0002984619752184456,-0.00025532936700418626,0.0010817878065223572,0.04036927096498188
db15k_mhyper_native,D-N,test,1,tail,non_ties,9902,6968,0.7036962229852555,45,0.006458094144661309,0.0006816877152698047,5,20,0.0007175660160734788,0.0028702640642939152,1.050004309196769e-05,7.388840665000087e-06,7.818888524036414e-07,0.0010896403047097147
db15k_mhyper_native,D-N,test,2,head,non_ties,9902,8509,0.8593213492223793,358,0.04207309907157128,0.004260195087554353,79,185,0.009284287225290868,0.021741685274415324,-6.965553340772844e-05,-5.985648694873372e-05,0.0003541673052020614,0.03814695696157393
db15k_mhyper_native,D-N,test,2,tail,non_ties,9902,7009,0.707836800646334,34,0.0048509059780282495,0.0005136253388500498,1,19,0.00014267370523612499,0.0027108003994863747,0.00010955756077702126,7.754887330702302e-05,8.2256298823263e-10,5.765343984522503e-06
db15k_mhyper_native,D-N,test,3,head,non_ties,9902,8496,0.8580084831347202,2337,0.2750706214689266,0.02772481167608286,501,1238,0.058968926553672314,0.1457156308851224,-0.0005568733314858641,-0.0004778020424463645,0.0026546100073274025,0.04501709904641439
db15k_mhyper_native,D-N,test,3,tail,non_ties,9902,7127,0.7197535851343163,98,0.013750526168093167,0.0014101304896871052,21,42,0.00294654132173425,0.0058930826434685,-2.4507054703807477e-05,-1.763904048414824e-05,0.00012083044674979682,0.041007552094562
db15k_mhyper_adamf,D-A,dev_oof,1,head,all,7922,7922,1.0,44,0.00555415299166877,0.0012938651855592023,12,25,0.0015147689977278464,0.0031557687452663467,-6.273766322162564e-05,-6.273766322162564e-05,0.000287973744447068,0.19011066695913936
db15k_mhyper_adamf,D-A,dev_oof,1,tail,all,7922,7922,1.0,11,0.0013885382479171926,0.0003534460994698309,3,6,0.0003786922494319616,0.0007573844988639232,-3.0222658144921865e-05,-3.0222658144921865e-05,6.455736315130942e-05,0.17047447696155774
db15k_mhyper_adamf,D-A,dev_oof,2,head,all,7922,7922,1.0,60,0.007573844988639233,0.0018619035597071448,16,37,0.002019691996970462,0.004670537742994194,0.00028270527391925014,0.00028270527391925014,0.000169122338657951,0.083736697928018
db15k_mhyper_adamf,D-A,dev_oof,2,tail,all,7922,7922,1.0,12,0.0015147689977278464,0.0003660691744508963,3,8,0.0003786922494319616,0.001009845998485231,-3.776507031696411e-05,-3.776507031696411e-05,6.522411624978401e-05,0.1722351496435963
db15k_mhyper_adamf,D-A,dev_oof,3,head,all,7922,7922,1.0,38,0.004796768492804847,0.0011550113607674832,10,19,0.0012623074981065387,0.0023983842464024236,5.014044839815902e-05,5.014044839815902e-05,0.00016054568015586403,0.1271842878194755
db15k_mhyper_adamf,D-A,dev_oof,3,tail,all,7922,7922,1.0,8,0.001009845998485231,0.0002461499621307751,0,4,0.0,0.0005049229992426155,1.653960895202683e-05,1.653960895202683e-05,0.0,
db15k_mhyper_adamf,D-A,dev_oof,1,head,ties,7922,896,0.11310275183034588,1,0.0011160714285714285,0.00033482142857142863,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,dev_oof,1,tail,ties,7922,2035,0.25687957586468063,2,0.0009828009828009828,0.00019656019656019656,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,dev_oof,2,head,ties,7922,789,0.09959606160060591,3,0.0038022813688212928,0.001140684410646388,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,dev_oof,2,tail,ties,7922,1895,0.2392072708911891,1,0.0005277044854881266,7.915567282321901e-05,0,1,0.0,0.0005277044854881266,4.690706537672238e-05,1.1220511094280346e-05,0.0,
db15k_mhyper_adamf,D-A,dev_oof,3,head,ties,7922,947,0.11954052007068922,5,0.005279831045406547,0.001214361140443506,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,dev_oof,3,tail,ties,7922,2045,0.25814188336278715,3,0.001466992665036675,0.00026894865525672375,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,dev_oof,1,head,non_ties,7922,7026,0.8868972481696541,43,0.006120125249074865,0.0014161685169370908,12,25,0.0017079419299743809,0.0035582123541132936,-7.073836721345268e-05,-6.273766322162566e-05,0.0003246979794349093,0.19011066695913936
db15k_mhyper_adamf,D-A,dev_oof,1,tail,non_ties,7922,5887,0.7431204241353193,9,0.0015287922541192458,0.0004076779344317989,3,6,0.0005095974180397486,0.0010191948360794973,-4.066993338271972e-05,-3.0222658144921865e-05,8.687335330128644e-05,0.17047447696155774
db15k_mhyper_adamf,D-A,dev_oof,2,head,non_ties,7922,7133,0.9004039383993941,57,0.007991027618112996,0.0019416795177344738,16,37,0.0022430954717510164,0.005187158278424225,0.0003139760521503294,0.00028270527391925014,0.00018782940794171988,0.083736697928018
db15k_mhyper_adamf,D-A,dev_oof,2,tail,non_ties,7922,6027,0.7607927291088109,11,0.0018251202920192466,0.00045628007300481166,3,7,0.0004977600796416127,0.0011614401858304297,-6.438755200595298e-05,-4.898558141124446e-05,8.573178180368159e-05,0.1722351496435963
db15k_mhyper_adamf,D-A,dev_oof,3,head,non_ties,7922,6975,0.8804594799293107,33,0.004731182795698925,0.0011469534050179211,10,19,0.0014336917562724014,0.0027240143369175627,5.694804762870476e-05,5.014044839815902e-05,0.0001823430649741584,0.1271842878194755
db15k_mhyper_adamf,D-A,dev_oof,3,tail,non_ties,7922,5877,0.7418581166372128,5,0.0008507742045261188,0.00023821677726731328,0,4,0.0,0.000680619363620895,2.2294841265604312e-05,1.653960895202683e-05,0.0,
db15k_mhyper_adamf,D-A,test,1,head,all,9902,9902,1.0,70,0.007069278933548778,0.002176328014542517,16,45,0.0016158351848111492,0.004544536457281357,0.000288695096878944,0.000288695096878944,2.8919765260183224e-05,0.01789771972539589
db15k_mhyper_adamf,D-A,test,1,tail,all,9902,9902,1.0,12,0.001211876388608362,0.0003635629165825086,3,7,0.0003029690971520905,0.0007069278933548778,9.747002056649808e-05,9.747002056649808e-05,1.808847192644653e-06,0.005970401633855785
db15k_mhyper_adamf,D-A,test,2,head,all,9902,9902,1.0,94,0.009493031710765503,0.002928701272470208,13,64,0.0013128660876590588,0.006463340739244597,0.0005342003810482885,0.0005342003810482885,1.4714364272129618e-05,0.01120781807866365
db15k_mhyper_adamf,D-A,test,2,tail,all,9902,9902,1.0,27,0.0027267218743688144,0.0008281155322157139,5,17,0.0005049484952534841,0.0017168248838618462,0.0001412415423039399,0.0001412415423039399,5.233964802846083e-05,0.10365343895556382
db15k_mhyper_adamf,D-A,test,3,head,all,9902,9902,1.0,52,0.005251464350636235,0.001661280549383963,13,36,0.0013128660876590588,0.003635629165825086,0.00018564132968051247,0.00018564132968051247,0.00019109279816999634,0.14555391442148485
db15k_mhyper_adamf,D-A,test,3,tail,all,9902,9902,1.0,12,0.001211876388608362,0.0003635629165825086,6,5,0.000605938194304181,0.0005049484952534841,2.2073165407811014e-05,2.2073165407811014e-05,1.1144273398038923e-06,0.001839176586456357
db15k_mhyper_adamf,D-A,test,1,head,ties,9902,1097,0.11078569985861442,7,0.006381039197812215,0.0019143117593436651,1,0,0.0009115770282588879,0.0,-7.59647523549073e-05,-8.415808254224734e-06,7.59647523549073e-05,0.08333333333333331
db15k_mhyper_adamf,D-A,test,1,tail,ties,9902,2451,0.24752575237325794,2,0.0008159934720522236,0.0002447980416156671,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,test,2,head,ties,9902,948,0.0957382347000606,13,0.013713080168776372,0.0041666666666666675,0,2,0.0,0.002109704641350211,0.00023441162681669012,2.24421553445993e-05,0.0,
db15k_mhyper_adamf,D-A,test,2,tail,ties,9902,2267,0.22894364774792972,3,0.0013233348037053375,0.0003970004411116013,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,test,3,head,ties,9902,1153,0.11644112300545344,1,0.0008673026886383347,0.0003035559410234172,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,test,3,tail,ties,9902,2487,0.251161381539083,1,0.0004020908725371934,0.00012062726176115805,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_adamf,D-A,test,1,head,non_ties,9902,8805,0.8892143001413856,63,0.007155025553662692,0.002208972174900625,15,45,0.0017035775127768314,0.005110732538330494,0.0003341274483394251,0.00029711090513316883,2.3058510195684374e-05,0.013535345484866729
db15k_mhyper_adamf,D-A,test,1,tail,non_ties,9902,7451,0.7524742476267421,10,0.0013421017313112334,0.0004026305193933701,3,7,0.00040263051939337,0.0009394712119178633,0.00012953269945637684,9.747002056649808e-05,2.40386591082638e-06,0.005970401633855785
db15k_mhyper_adamf,D-A,test,2,head,non_ties,9902,8954,0.9042617652999394,81,0.009046236318963593,0.002797632343086889,13,62,0.0014518650882287246,0.006924279651552379,0.0005659403563678723,0.0005117582257036891,1.6272239783630498e-05,0.01120781807866365
db15k_mhyper_adamf,D-A,test,2,tail,non_ties,9902,7635,0.7710563522520703,24,0.003143418467583497,0.0009561231172233138,5,17,0.0006548788474132286,0.002226588081204977,0.0001831792733324968,0.0001412415423039399,6.788044463363709e-05,0.10365343895556382
db15k_mhyper_adamf,D-A,test,3,head,non_ties,9902,8749,0.8835588769945466,51,0.0058292376271573895,0.0018402103097496863,13,36,0.0014858841010401188,0.0041147559721110985,0.0002101063488966093,0.0001856413296805125,0.00021627624728303845,0.14555391442148485
db15k_mhyper_adamf,D-A,test,3,tail,non_ties,9902,7415,0.748838618460917,11,0.0014834794335805799,0.00044504383007417406,6,5,0.0008091706001348617,0.0006743088334457181,2.9476531877025577e-05,2.2073165407811014e-05,1.488207622216877e-06,0.001839176586456357
mkgw_native_adamf,W-NA,dev_oof,1,head,all,4276,4276,1.0,47,0.010991580916744622,0.0009471468662301218,19,11,0.004443405051449953,0.0025724976613657625,-0.00024125066980606894,-0.00024125066980606894,0.00047519481149686733,0.1069438428400318
mkgw_native_adamf,W-NA,dev_oof,1,tail,all,4276,4276,1.0,382,0.08933582787652011,0.02004209541627689,88,155,0.0205799812909261,0.0362488306828812,0.0008746144867441105,0.0008746144867441105,0.002081174654520196,0.10112616844009499
mkgw_native_adamf,W-NA,dev_oof,2,head,all,4276,4276,1.0,30,0.007015902712815715,0.0006782039289055193,8,13,0.0018709073900841909,0.00304022450888681,0.0002543837721791237,0.0002543837721791237,1.4231690314313952e-07,7.606838473000808e-05
mkgw_native_adamf,W-NA,dev_oof,2,tail,all,4276,4276,1.0,189,0.04420018709073901,0.008512628624883067,49,81,0.011459307764265668,0.01894293732460243,-0.000524862470180727,-0.000524862470180727,0.0013357163966745411,0.11656170024857833
