dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_native_adamf,C4,2,63376,0.0443050515310285,0.03878586640483719,0.0777776290744792,0.4074728603887907,0.456724969173126,0.04925210878433528,0.5626684585767628,0.2243436001009846,0.2374448927057784,0.013101292604793785,0.5098627185074185,0.5449856605860104,0.04498566058601039,0.6061922647529936,0.6318164604897754,-0.025624195736781763,0.007171786276411729,0.47002208898706216,0.2079520353423793,True,63376,15844
db15k,db15k_native_adamf,C4,3,63376,0.03065913014428058,0.02594643107086601,0.07251614348141928,0.3895323150719515,0.43560562685280546,0.04607331178085394,0.5564866499061151,0.20327884372633173,0.20446696018357705,0.001188116457245314,0.5046369398676038,0.5389895274444994,0.03898952744449935,0.5639369628612311,0.5928111587982833,-0.028874195937052205,0.00396342215821299,0.4615020511202272,0.16771852319343641,True,63376,15844
mkg_w,mkgw_mhyper_adamf,C0,1,34208,0.023847993040944378,0.019665715586452352,0.1724338304554233,0.4186739943872778,0.5476092481327063,0.12893525374542847,0.6411065486342955,0.16569223573433114,0.18087710903361964,0.015184873299288498,0.5207584107338115,0.597981479899207,0.09798147989920702,0.526748161867076,0.5843662301216089,-0.05761806825453297,0.003797197699515819,0.6308097047646887,0.14878690441391407,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C0,2,34208,0.021698886817654656,0.01754848483964615,0.15404784707594774,0.42323433115060805,0.5456236249958342,0.12238929384522612,0.6336404861821915,0.15616230121608982,0.16169391095953595,0.005531609743446131,0.5089061261731125,0.5847397908465052,0.08473979084650518,0.518854369418377,0.5793966323666978,-0.06054226294832077,0.00799911400591274,0.6293481438175972,0.14469453376205788,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C0,3,34208,0.02369683720873372,0.01948390602482116,0.14632826348197936,0.421421889616464,0.5331270407365738,0.11170515112010981,0.6254476371830859,0.16157039289055192,0.17229237767583014,0.010721984785278221,0.513633831949426,0.5831027802271043,0.08310278022710427,0.5256177989083819,0.582992282507016,-0.05737448359863406,0.004159837261697366,0.5933937445191464,0.15434083601286175,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C1,1,34208,0.023889909988454992,0.019700258870878947,0.167113238167688,0.4186739943872778,0.538858704968907,0.12018471058162916,0.6310337271842043,0.16569223573433114,0.1800708665460125,0.014378630811681364,0.5255151246823164,0.5960678428309384,0.09606784283093839,0.5370263765551821,0.5843662301216089,-0.04733985356642678,0.005887209903509562,0.6144402221572639,0.15726395790704473,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C1,2,34208,0.021765235121677374,0.017588423434932367,0.1599784335030707,0.42323433115060805,0.5503017272770595,0.12706739612645146,0.6321423745358583,0.15616230121608982,0.1671503503610235,0.010988049144933676,0.5110916498634014,0.5844028435661094,0.08440284356610939,0.5383313727895613,0.5793966323666978,-0.04106525957713647,0.01138284879600854,0.6275942706810874,0.15492546039169833,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C1,3,34208,0.023682508171314474,0.019465474560135088,0.15067184834831146,0.421421889616464,0.531045144029557,0.10962325441309306,0.6191409614625849,0.16157039289055192,0.1763478558505234,0.014777462959971482,0.5194464086389362,0.584179198142827,0.08417919814282704,0.5400047166830748,0.582992282507016,-0.04298756582394114,0.007844131148448915,0.6018707980122772,0.15375621163402514,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C2,1,34208,0.024318873469404517,0.01988696156683944,0.14456083423698213,0.4186739943872778,0.5152881116717628,0.09661411728448499,0.6116291625707392,0.16569223573433114,0.17506395127288416,0.00937171553855301,0.5080558171151287,0.5696671386224509,0.06966713862245089,0.5394545788014767,0.5843662301216089,-0.044911651320132195,0.0014279386614086912,0.5618240280619702,0.1856182402806197,True,34208,8552
mkg_w,mkgw_mhyper_adamf,C2,2,34208,0.022128626767376307,0.017732623555586267,0.13210110150952756,0.42323433115060805,0.5227811467969866,0.09954681564637857,0.6049784520225979,0.15616230121608982,0.16427418983904904,0.008111888622959224,0.5112954926471464,0.5691058701801863,0.06910587018018632,0.5437237453543002,0.5793966323666978,-0.03567288701239757,0.008664207926630283,0.600701549254604,0.15960245542239113,True,34208,8552
