pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
mkgw_mhyper_adamf,R3_softplus_fixed,3,37,4276,8552,4276,1,4276,a2a4cdb7a07e079cbd05eafcb2a3da2381bc10c66c0b8c7256b48378b31292e1
mkgw_mhyper_adamf,R3_softplus,3,37,4276,8552,4276,10,42760,5632f9c42d451529af354451ce6a15e168d68868140c8bc0c06d46ecf945a5fb
mkgw_mhyper_adamf,R4_swap,3,37,4276,8552,4276,10,42760,12274b3b80890db31dd0f961649d9ed64b253161214b6dbcbdf4412e87b13ddd
db15k_mhyper_native,R0,1,1,7922,15844,7922,1,7922,98732e848bfa9ea22d397b10e27ca1e5dcdab0e8e437db7f120e43d1ca997d92
db15k_mhyper_native,R0,2,2,7922,15844,7922,1,7922,0de197edc5540b77e4e5cc6ad2b6c0a9eaaa37045ebeb25a678649c2081864bb
db15k_mhyper_native,R0,3,3,7922,15844,7922,1,7922,9faf06874bd07af9e4db1a4789d064a59440438b3f493990ba097005f93f29b9
db15k_mhyper_native,R1_source,1,11,7922,15844,7922,1,7922,3661e2702feb3ebc56726e2dec63d8ef58634d728e25fbee319ad76438815bf2
db15k_mhyper_native,R2_init,1,11,7922,15844,7922,1,7922,1fc5b3b5ac1c2ddaa6ef49f1f2d365bc8adbd75809b04d7e5db270d2a2da1c7f
db15k_mhyper_native,R3_softplus_fixed,1,11,7922,15844,7922,1,7922,76bb9ceb1f38d6b7bb6fbb7549d615724f70c99cab235ffb744109bd33d10789
db15k_mhyper_native,R3_softplus,1,11,7922,15844,7922,3,23766,dd226993cc3f44fd3318121b07b919243d8cfa417358cb45b7a00080d667bfc9
db15k_mhyper_native,R4_swap,1,11,7922,15844,7922,3,23766,ad70de19c84ff98e4fe4e5f62849361e036af417dd0c178ac336b3829ef2a8d5
db15k_mhyper_native,R1_source,1,23,7922,15844,7922,1,7922,be23e195ef7d439ee3209ca7b9cd899639e55d5d189ab03045787961b3b6d0d0
db15k_mhyper_native,R2_init,1,23,7922,15844,7922,1,7922,e63e048d5858de9758f66cfc7c918879f6e4e20cabf8b21eb64e0a5e2ebb4a64
db15k_mhyper_native,R3_softplus_fixed,1,23,7922,15844,7922,1,7922,cd73698bf1bf10a013a19d954746934d27b5c8864a00939237cdb3324cb0d996
db15k_mhyper_native,R3_softplus,1,23,7922,15844,7922,3,23766,49e6cdc362628ac42494c53a6e5ce744dc70ad48195c563012a1b3772603979e
db15k_mhyper_native,R4_swap,1,23,7922,15844,7922,3,23766,654edeb9d5f53271b0c77865859ae1d0353d7c14f5689d116d79b59400d44fc4
db15k_mhyper_native,R1_source,1,37,7922,15844,7922,1,7922,afa5c4f8be27038e86d5dfeba5159777bcfec933f3acd9f54d8f9a83e315c604
db15k_mhyper_native,R2_init,1,37,7922,15844,7922,1,7922,72ebb17d451da21b881275225327c1e81932a209470ac176e823090fbad8917d
