pair,label,split,method,convention,changed_rows,endpoint_rows,seed,direction,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,1,tail,4276,0.5250209295382764,0.5213228763889308,0.0036980531493455045,0.11435921421889617,0.0558933582787652,0.17025257249766138,0.04350556683192264,0.004975262437046345,0.008673315586391851,,
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,2,head,4276,0.19215642462418828,0.19144519484794112,0.0007112297762471348,0.16604303086997194,0.31594948550046775,0.48199251637043966,0.018088715782436173,0.003003505193061197,0.003714734969308332,,
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,2,tail,4276,0.5223735988310994,0.5195024163656786,0.0028711824654207383,0.15224508886810104,0.06127221702525725,0.21351730589335827,0.0515599330262521,0.007849746585615089,0.010720929051035827,,
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,3,head,4276,0.19803716544075609,0.19591321613478416,0.0021239493059719474,0.16697848456501402,0.3517305893358279,0.5187090739008419,0.01695395978386283,0.0028309465120856083,0.004954895818057556,,
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,3,tail,4276,0.5233755006038776,0.5155132337957664,0.007862266808111149,0.1145930776426567,0.06782039289055192,0.1824134705332086,0.0432765333493588,0.004959191146208094,0.012821457954319243,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,1,head,4276,0.19551626941182376,0.19429153782097075,0.0012247315908530323,0.20065481758652948,0.466089803554724,0.6667446211412535,0.022031309494993444,0.004420688387910284,0.005645419978763317,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,1,tail,4276,0.5216455485083975,0.5213228763889308,0.00032267211946654763,0.11693171188026193,0.15060804490177737,0.2675397567820393,0.05823660321335214,0.0068097057078288295,0.007132377827295377,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,2,head,4276,0.1928668735411183,0.19144519484794112,0.001421678693177172,0.18896164639850327,0.4483161833489242,0.6372778297474275,0.015675203579816433,0.0029620122760738257,0.004383690969250997,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,2,tail,4276,0.5206251115876227,0.5195024163656786,0.0011226952219440757,0.11623012160898036,0.10219831618334893,0.2184284377923293,0.05144777990585356,0.005979781714969415,0.007102476936913491,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,3,head,4276,0.19662109793807642,0.19591321613478416,0.000707881803292268,0.20603367633302153,0.46492048643592143,0.6709541627689429,0.022492166531410774,0.004634143759161106,0.005342025562453373,,
mkgw_mhyper_native,W-N,dev,Query-soft,raw_endpoint,0,0,3,tail,4276,0.5191789073469355,0.5155132337957664,0.003665673551169012,0.1148269410664172,0.16019644527595883,0.27502338634237605,0.04848886549081241,0.005567828100090948,0.00923350165125996,,
mkgw_mhyper_native,W-N,dev,Query-soft,normalized_endpoint,0,0,1,head,4276,0.19551626941182376,0.19429153782097075,0.0012247315908530323,0.20065481758652948,0.466089803554724,0.6667446211412535,0.022031309494993444,0.004420688387910284,0.005645419978763317,,
mkgw_mhyper_native,W-N,dev,Query-soft,normalized_endpoint,0,0,1,tail,4276,0.5216455485083975,0.5213228763889308,0.00032267211946654763,0.11693171188026193,0.15060804490177737,0.2675397567820393,0.05823660321335214,0.0068097057078288295,0.007132377827295377,,
mkgw_mhyper_native,W-N,dev,Query-soft,normalized_endpoint,0,0,2,head,4276,0.1928668735411183,0.19144519484794112,0.001421678693177172,0.18896164639850327,0.4483161833489242,0.6372778297474275,0.015675203579816433,0.0029620122760738257,0.004383690969250997,,
mkgw_mhyper_native,W-N,dev,Query-soft,normalized_endpoint,0,0,2,tail,4276,0.5206251115876227,0.5195024163656786,0.0011226952219440757,0.11623012160898036,0.10219831618334893,0.2184284377923293,0.05144777990585356,0.005979781714969415,0.007102476936913491,,
