pair,label,split,method,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method,paired_lo,paired_hi,bootstrap_replicates,bootstrap_seed,random_expectation
db15k_native_adamf,D-NA,dev_oof,Tail-first,47532,0.32094451594368606,-7.740233544933297e-05,0.003807960952621392,0.000383126195493889,0.038479340233947654,0.0024667592358831956,0.00010791513432611756,-7.590868052401699e-05,0.0002908038231855497,2000,20260939,False
db15k_native_adamf,D-NA,dev_oof,Low-A-gap,47532,0.32102280026470686,8.819855714425375e-07,0.0053016914920474625,0.00042773631750247273,0.038479340233947654,0.0026213919044012464,2.9630813305342286e-05,-0.00015913409992799165,0.00022710397998631916,2000,20260939,False
db15k_native_adamf,D-NA,dev_oof,Gap-agree,47532,0.3209104360241193,-0.00011148225501609173,0.004354960868467559,0.0003963996472991081,0.038479340233947654,0.0026897668938820167,0.0001419950538928766,-2.5323796728594948e-05,0.0003044292853814278,2000,20260939,False
db15k_native_adamf,D-NA,dev_oof,Random-shape,47532,0.32098167811574024,-4.0240163395175585e-05,0.0050038530236315515,0.0004528283145994654,0.038479340233947654,0.004010982075233527,7.075296227196033e-05,-2.770212681868413e-05,0.00017038956462422377,2000,20260939,True
db15k_native_adamf,D-NA,dev_oof,No-gate,47532,0.3200204431039596,-0.0010014751751757825,0.03294622570058066,0.002520773934976419,0.260414036859379,0.01633320710258353,0.0010319879740525665,0.0007155305636187535,0.0013546232995344648,2000,20260939,False
db15k_native_adamf,D-NA,test,ADC,59412,0.31274661319503366,-1.487158520481653e-05,0.005907897394465764,0.00044975842476749025,0.040665185484413925,0.004704436814111627,0.0,0.0,0.0,2000,20260940,False
db15k_native_adamf,D-NA,test,Random-I,59412,0.312669017666735,-9.246711350347022e-05,0.0043706344074140304,0.0003694912886841059,0.040665185484413925,0.002796118174620553,7.759552829865361e-05,-4.739726255032303e-05,0.00019901775974387557,2000,20260940,True
db15k_native_adamf,D-NA,test,Head-first,59412,0.31260525720541416,-0.00015622757482430807,0.006210866491617855,0.0003476634023699172,0.040665185484413925,0.003130680670571603,0.0001413559896194916,-6.916576718292297e-06,0.0002911692604951488,2000,20260940,False
db15k_native_adamf,D-NA,test,Tail-first,59412,0.31260376745646584,-0.0001577173237726404,0.003753450481384232,0.00047337999913032807,0.040665185484413925,0.0026543459233824836,0.00014284573856782374,-3.256988436209398e-05,0.00031474812102414313,2000,20260940,False
db15k_native_adamf,D-NA,test,Low-A-gap,59412,0.31298208536698,0.00022060058674158066,0.005318790816670033,0.00037729739114597045,0.040665185484413925,0.0028756816804685935,-0.0002354721719463979,-0.00042704863537198123,-4.082093233478524e-05,2000,20260940,False
db15k_native_adamf,D-NA,test,Gap-agree,59412,0.3126878144487428,-7.367033149571179e-05,0.005015821719517943,0.00040751884825288644,0.040665185484413925,0.0029505823739311935,5.8798746290895206e-05,-0.00010623811265094586,0.00021965638010481165,2000,20260940,False
db15k_native_adamf,D-NA,test,Random-shape,59412,0.3127328435253633,-2.8641254875154055e-05,0.005951594111826887,0.00046357218364747346,0.040665185484413925,0.004704436814111626,1.3769669670337541e-05,-7.101647931272979e-05,9.280284616509506e-05,2000,20260940,True
db15k_native_adamf,D-NA,test,No-gate,59412,0.3120981019951913,-0.0006633827850472061,0.03758499966336767,0.0025366497424310257,0.2839830337305595,0.01849962970443682,0.0006485111998423869,0.0003638927235991642,0.0009365873630882313,2000,20260940,False
