pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,1,head,4276,0.18704741386579768,-0.000737982718086804,0.0706267539756782,0.001949066272498995,0.35944808231992514,0.05558933582787653,0.0002894468109534917
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,1,tail,4276,0.5176945621119751,0.0,0.0,0.0,0.0,0.0,0.0018843214230475818
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,2,head,4276,0.18784563556601327,-0.00022526244604021274,0.07787652011225445,0.0018192329981387527,0.4424695977549111,0.0717376052385407,0.0005356745411436563
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,2,tail,4276,0.5175898494490816,0.0,0.0,0.0,0.0,0.0,0.002290733457498616
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,3,head,4276,0.19223776578806515,0.0006876253948715787,0.06127221702525725,0.000871105502493175,0.3669317118802619,0.05793966323666979,0.0002226511076870256
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,3,tail,4276,0.5142409456504321,0.0,0.0,0.0,0.0,0.0,0.0022761738397462025
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,1,head,4276,0.18817526597441384,0.00038986939052934914,0.03391019644527596,0.000517395331377838,0.17025257249766138,0.0377689429373246,-0.0008384052976626615
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,1,tail,4276,0.5193662848762464,0.0016717227642713368,0.026426566884939197,0.0017933096961930456,0.1891955098222638,0.020930776426566884,0.0002125986587762447
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,2,head,4276,0.18800853814864935,-6.235986340414408e-05,0.0362488306828812,0.0009475208365993256,0.2137511693171188,0.048596819457436866,0.00037277195850758763
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,2,tail,4276,0.5189767681834242,0.001386918734342616,0.028999064546304958,0.002707076667619943,0.22871842843779233,0.02314078578110384,0.0009038147231560003
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,3,head,4276,0.1921122378126499,0.0005620974194563312,0.026894293732460245,0.0002717088185452222,0.17095416276894293,0.03916043030869972,0.000348179083102273
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,3,tail,4276,0.5163522580128173,0.0021113123623851594,0.027128157156220765,0.001990774818161314,0.19597754911131898,0.021760991580916746,0.0001648614773610434
