split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
test,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,>0.20,4,1539,0.07771157341951121,0.0008574387560191334,0.011033604369202676,0.3060428849902534,0.03841713250176232,0.035216050735474874,471,996,72
test,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,0,0,18025,0.9101696626944051,0.0,0.0,0.0,,,0,0,18025
test,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,>0.20,4,1779,0.08983033730559482,0.0006480139461024979,0.007213753900288852,0.29735806632939854,0.04545888944475263,0.031495320841065766,529,1171,79
test,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,0,0,18978,0.9582912542920622,0.0,0.0,0.0,,,0,0,18978
test,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,>0.20,4,826,0.04170874570793779,0.0006367786652078135,0.015267269595369903,0.2675544794188862,0.03237750072216846,0.03431630615516453,221,576,29
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,0,0,26663,0.8975627819295765,0.0,0.0,0.0,,,0,0,26663
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,>0.20,4,3043,0.10243721807042348,0.0006770384948171822,0.006609301849174897,0.30299046993098916,0.030247977288099324,0.023904751288180676,922,2008,113
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,0,0,28605,0.9629367804483943,0.0,0.0,0.0,,,0,0,28605
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,>0.20,4,1101,0.037063219551605735,0.0007511157500691144,0.020265798793417902,0.27157129881925524,0.07160205526613997,0.05948525033486933,299,735,67
