dataset,pair_id,relation,n_query_instances,n_original_triples,n_nonreference_action_rows,opportunity_prevalence,actual_mean_u,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,h1_style_pass
mkg_w,mkgw_native_adamf,72,162,27,810,0.7098765432098766,-0.007000901006666449,0.05164584353509533,0.04197798785651785,0.018809325931044285,0.0007906376740066256,True
mkg_w,mkgw_native_adamf,77,72,12,360,0.5277777777777778,-0.021553000283039744,0.06366661060214805,-0.006303863923977138,0.07603815977321937,0.000612681190814638,False
db15k,db15k_mhyper_native,0,1746,291,6984,0.4289805269186712,-0.006682931195985896,0.06708143709428464,0.06463097822510055,0.0206045778797167,0.0032326081154007047,True
db15k,db15k_mhyper_native,1,1506,251,6024,0.3851261620185923,-0.008627464615621503,0.0784766837125667,0.02926450811928294,0.00034089831058584097,-0.0021476643780976626,False
db15k,db15k_mhyper_native,2,420,70,1680,0.3761904761904762,-0.003652853591273313,-0.013395773132982559,-0.005556409329915024,-0.018408313141475535,-0.00808174383171387,False
db15k,db15k_mhyper_native,3,138,23,552,0.2753623188405797,-0.017173753920389192,-0.013882397488885711,-0.02706914023031662,0.10891122312027543,-0.0034280848378357535,False
db15k,db15k_mhyper_native,4,144,24,576,0.041666666666666664,-0.018816826499118162,0.0907808965966321,-0.003706265308425199,0.06920243554300341,-0.00862068965517241,False
db15k,db15k_mhyper_native,5,840,140,3360,0.4880952380952381,0.001880978320093789,-0.009030610666672807,-0.000929067366262526,0.002311071802219511,-0.0021449004780200323,False
db15k,db15k_mhyper_native,6,132,22,528,0.44696969696969696,-0.006287346640840692,-0.03547179952653011,-0.017671980829856104,0.023857547426902465,0.0103747733044623,False
db15k,db15k_mhyper_native,7,108,18,432,0.4444444444444444,0.0002739359962632749,0.04591693993211696,0.1151588922630431,-0.02847673387489344,-0.0004246497604604725,False
db15k,db15k_mhyper_native,8,60,10,240,0.55,-0.015954098487546323,0.10398042317440671,0.06648363869193213,0.04586631238504714,0.004275132681221886,True
db15k,db15k_mhyper_native,9,96,16,384,0.4270833333333333,-0.00030830218880662587,0.05893341566050343,0.08256441790593516,-0.006476380338610227,-0.00013633967233153842,False
db15k,db15k_mhyper_native,11,78,13,312,0.5384615384615384,-0.012027898135110418,0.011583880257826168,0.0049668412207551915,0.001415418166601956,0.005585995092300484,True
db15k,db15k_mhyper_native,12,3222,537,12888,0.5363128491620112,-0.004969415140880586,0.040529734811457885,0.021832388564303917,0.0007311054125242189,-0.006232995671503211,False
db15k,db15k_mhyper_native,13,78,13,312,0.15384615384615385,0.011651348519368384,-0.10752575437302862,0.012147508035743854,-0.017190787857273432,0.041079616790323986,False
db15k,db15k_mhyper_native,14,492,82,1968,0.4349593495934959,-0.003364337545198126,0.0070880723919340425,0.008820052691419833,0.0334656857558327,-0.004776378448216192,False
db15k,db15k_mhyper_native,17,516,86,2064,0.6511627906976745,0.002544575950117285,0.008774231207060347,0.015826307227586156,0.026527474869144474,0.010998669358081565,True
db15k,db15k_mhyper_native,18,234,39,936,0.6495726495726496,0.0027515112005242117,-0.03403833414015779,0.015522119050128014,0.032491951464634766,0.008596954436784533,False
db15k,db15k_mhyper_native,19,408,68,1632,0.4411764705882353,-0.005315996851728268,-0.013209702708695092,0.014070187607695739,-0.012678228420923643,8.79387019828471e-05,False
db15k,db15k_mhyper_native,20,102,17,408,0.21568627450980393,0.0009070813684059133,-0.06575456310598157,-0.02565377360650925,0.02075887894301605,-0.024349793610527193,False
db15k,db15k_mhyper_native,21,648,108,2592,0.3055555555555556,0.00034019559924032804,0.048621908970219965,0.030109989612486066,0.022908352200176466,-0.0016450933494244115,False
