pair,label,split,method,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
mkgw_native_adamf,W-NA,test,Clip-g,25644,926.0,238.0,402.0,0.34431539724481064,0.0001883881848355915,0.009280923412884105,0.2570194384449244,0.03610981126189362,0.0008848023942766557,0.001073190579112247,0.00886952113554828
mkgw_native_adamf,W-NA,test,Shrink-fixed,25644,926.0,266.0,395.0,0.34414908744463474,2.207838465967132e-05,0.010372796755576353,0.28725701943844495,0.03610981126189362,0.0010230690913178902,0.0010451474759775616,0.010310403993136805
mkgw_native_adamf,W-NA,test,Radius-1,25644,926.0,276.0,396.0,0.34436059391039897,0.00023358485042388147,0.010762751520823585,0.2980561555075594,0.03610981126189362,0.001147027822356407,0.001380612672780288,0.0160271408516612
mkgw_native_adamf,W-NA,test,No-gate,25644,20282.0,5572.0,5599.0,0.3408774216996875,-0.003249587360287593,0.2172827951957573,0.274726358347303,0.7909062548744346,0.011662084043563208,0.008412496683275617,0.058532210263610655
mkgw_native_adamf,W-NA,test,Global,25644,0.0,0.0,0.0,0.34412700905997506,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_native_adamf,D-NA,dev_oof,ADC,47532,1829.0,238.0,902.0,0.3210524310780122,3.0512798876784757e-05,0.005007153075822604,0.13012575177692728,0.038479340233947654,0.0003926550927156181,0.0004231678915924029,0.0040109820752335336
db15k_native_adamf,D-NA,dev_oof,Center-0.5,47532,2175.0,567.0,1026.0,0.32089893058730146,-0.00012298769183396253,0.01192880585710679,0.26068965517241377,0.04575864680636203,0.0021372803340795176,0.0020142926422455545,0.026099259446267727
db15k_native_adamf,D-NA,dev_oof,Linear-p,47532,1829.0,207.0,859.0,0.3209471895527047,-7.472872643072365e-05,0.004354960868467559,0.1131765992345544,0.038479340233947654,0.00028135782039590966,0.00020662909396518598,0.0020217958428006442
db15k_native_adamf,D-NA,dev_oof,Clip-g,47532,1829.0,243.0,905.0,0.32104909884200417,2.718056286876986e-05,0.005112345367331482,0.13285948605795517,0.038479340233947654,0.00041568182225632856,0.0004428623851250984,0.0041035512917613455
db15k_native_adamf,D-NA,dev_oof,Shrink-fixed,47532,2173.0,386.0,1035.0,0.3208812745981652,-0.00014064368097023677,0.0081208449044854,0.17763460653474458,0.04571656988975848,0.001237143974009207,0.00109650029303897,0.010516073382142554
