split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,DB15K,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,47532,0.3829075507023274,0.38258701302410913,0.00032053767821827936,0.018240343347639486,0.037194824424854694,0.047020954304468565,0.0704998737692502,0.672641588824371,0.013340486409155935,0.15000000000000002,0.5159471513927459,867,2235,44430
dev,DB15K,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,47532,0.38297879313547106,0.38258701302410913,0.000391780111361934,0.018619035597071447,0.03804351914819473,0.047168223512581,0.0704998737692502,0.672641588824371,0.01541803416645628,0.19999999999999996,0.5159471513927459,885,2242,44405
dev,DB15K,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,47532,0.38306175991572006,0.38258701302410913,0.00047474689161090914,0.018913574013296304,0.03988102013685265,0.04731549272069343,0.0704998737692502,0.672641588824371,0.017955272237650425,0.25,0.5159471513927459,899,2249,44384
dev,DB15K,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,47532,0.38304181211919214,0.38258701302410913,0.0004547990950830175,0.019313304721030045,0.043284395691427,0.04718926197088277,0.0704998737692502,0.672641588824371,0.019888706555583606,0.25,0.5159471513927459,918,2243,44371
dev,DB15K,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,47532,0.38309561425680144,0.38258701302410913,0.0005086012326922654,0.019881343095177986,0.04626419834686714,0.047378608095598754,0.0704998737692502,0.672641588824371,0.022523773457881008,0.30000000000000004,0.5159471513927459,945,2252,44335
dev,DB15K,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,47532,0.38317339164012804,0.38258701302410913,0.0005863786160189505,0.0253092653370361,0.06481581178248434,0.04331818564335606,0.0704998737692502,0.672641588824371,0.04444269123958596,0.6,0.5159471513927459,1203,2059,44270
test,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,25644,0.36527060312877435,0.36430474088661813,0.0009658622421562417,0.039892372484791765,0.06748603141344602,0.05958508812977695,0.3556777413819997,0.0,0.01778388706909999,0.050000000000000044,0.0,1023,1528,23093
test,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,25644,0.36592395493782987,0.36430474088661813,0.0016192140512118146,0.1112540945250351,0.03776836985920781,0.21396817969115584,0.6848385587271877,0.0,0.044741459990641066,0.09999999999999998,0.0,2853,5487,17304
test,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,25644,0.3671514628322001,0.36430474088661813,0.0028467219455819994,0.13870690999844018,0.03132846317490777,0.262673529870535,0.8015520199656839,0.0,0.06694938387147088,0.15000000000000002,0.0,3557,6736,15351
test,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,25644,0.3671975258101642,0.36430474088661813,0.0028927849235460264,0.15469505537357667,0.032003245857151544,0.28521291530182497,0.852246139447824,0.0,0.0889135860240212,0.20000000000000007,0.0,3967,7314,14363
test,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,25644,0.36821464079283184,0.36430474088661813,0.003909899906213729,0.16651068476056777,0.030443189296130147,0.2988613320854781,0.8818827016066136,0.0,0.11163625019497737,0.25,0.0,4270,7664,13710
test,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,25644,0.3687889844351119,0.36430474088661813,0.0044842435484937545,0.17614256746217438,0.030272820568445137,0.30942910622367803,0.9028622679769147,0.0,0.1336024021213539,0.30000000000000004,0.0,4517,7935,13192
