split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,pooled,head,23766,0.24394076117438404,0.24351429823048043,0.0004264629439035936,0.10203652276361189,0.014226729654355024,0.2591517293612724,0.5392156862745098,0.0,0.031414625936211416,0.09999999999999998,0.3631658672052512,2425,6159,15182
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,pooled,tail,23766,0.5218729408814647,0.5216597278177378,0.000213213063726913,0.027181688125894134,0.02713563440977419,0.07897837246486578,0.18926197088277372,0.0,0.00978498695615586,0.050000000000000044,0.6647732054195069,646,1877,21243
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,pooled,head,23766,0.24423924572147693,0.24351429823048043,0.0007249474909965145,0.11272405958091392,0.01803060955742198,0.28124211057813686,0.5685012202305815,0.0,0.04349701253892116,0.09999999999999998,0.3631658672052512,2679,6684,14403
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,pooled,tail,23766,0.5221472992944431,0.5216597278177378,0.0004875714767053265,0.03159976436926702,0.02704362521751234,0.0928637549440377,0.22515358074560296,0.0,0.013161659513590851,0.050000000000000044,0.6647732054195069,751,2207,20808
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,pooled,head,23766,0.2444231909842037,0.24351429823048043,0.0009088927537232837,0.12012959690313894,0.021118165071344255,0.29323403181014895,0.582891525708996,0.0,0.0542097955061853,0.15000000000000002,0.3631658672052512,2855,6969,13942
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,pooled,tail,23766,0.5220840451560388,0.5216597278177378,0.0004243173383009365,0.036522763611882524,0.034324086699342324,0.10245729192964739,0.24728603887907094,0.0,0.01666877051249685,0.09999999999999998,0.6647732054195069,868,2435,20463
dev,DB15K,M-Hyper + NativE,0.3,formal_dev_candidate,False,pooled,head,23766,0.24451359408208745,0.24351429823048043,0.0009992958516069992,0.1278717495581924,0.023632316072241494,0.3023647227131196,0.5937894471093158,0.0,0.06487419001935539,0.15000000000000002,0.3631658672052512,3039,7186,13541
dev,DB15K,M-Hyper + NativE,0.3,formal_dev_candidate,False,pooled,tail,23766,0.5220934276885245,0.5216597278177378,0.00043369987078664083,0.040604224522427,0.039495337694142645,0.11036775225111504,0.2629807287721956,0.0,0.020232685348817645,0.09999999999999998,0.6647732054195069,965,2623,20178
dev,DB15K,M-Hyper + NativE,0.35,formal_dev_candidate,False,pooled,head,23766,0.24463596166784013,0.24351429823048043,0.0011216634373597332,0.13426744088193218,0.026401899167977933,0.3094336447025162,0.6003113691828663,0.0,0.07597828831103257,0.19999999999999996,0.3631658672052512,3191,7354,13221
dev,DB15K,M-Hyper + NativE,0.35,formal_dev_candidate,False,pooled,tail,23766,0.5221563224157522,0.5216597278177378,0.0004965945980143357,0.04422283935033241,0.04000540919215255,0.11604813599259446,0.27463603467137926,0.0,0.023718757889421866,0.09999999999999998,0.6647732054195069,1051,2758,19957
dev,DB15K,M-Hyper + NativE,0.4,formal_dev_candidate,False,pooled,head,23766,0.2448059358418526,0.24351429823048043,0.0012916376113721827,0.13923251704115122,0.029134572127380423,0.31528233611040984,0.6058234452579315,0.0,0.08696246739038964,0.19999999999999996,0.3631658672052512,3309,7493,12964
dev,DB15K,M-Hyper + NativE,0.4,formal_dev_candidate,False,pooled,tail,23766,0.5223551008039037,0.5216597278177378,0.0006953729861658706,0.046831608179752585,0.041190427460259416,0.12084490448539931,0.2824623411596398,0.0,0.02715644197593201,0.15000000000000002,0.6647732054195069,1113,2872,19781
