pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_adamf,Shrink-gate,seed,2.0,8548,0.0013205688560498738,
mkgw_mhyper_adamf,Shrink-gate,seed,3.0,8548,0.0011096280294783606,
mkgw_mhyper_adamf,Shrink-gate,direction,,12822,0.0006304136384165555,head
mkgw_mhyper_adamf,Shrink-gate,direction,,12822,0.0013974095858904929,tail
mkgw_mhyper_adamf,Shrink-gate,seed_direction,1.0,4274,0.00041596373286390106,head
mkgw_mhyper_adamf,Shrink-gate,seed_direction,1.0,4274,0.0008071121690007738,tail
mkgw_mhyper_adamf,Shrink-gate,seed_direction,2.0,4274,0.0005613598981463231,head
mkgw_mhyper_adamf,Shrink-gate,seed_direction,2.0,4274,0.0020797778139534247,tail
mkgw_mhyper_adamf,Shrink-gate,seed_direction,3.0,4274,0.0009139172842394419,head
mkgw_mhyper_adamf,Shrink-gate,seed_direction,3.0,4274,0.0013053387747172795,tail
mkgw_mhyper_adamf,Linear-p,seed,1.0,8548,-0.00018611874269349956,
mkgw_mhyper_adamf,Linear-p,seed,2.0,8548,0.00026094787109348725,
mkgw_mhyper_adamf,Linear-p,seed,3.0,8548,0.0002516691750502297,
mkgw_mhyper_adamf,Linear-p,direction,,12822,-0.000201565391279184,head
mkgw_mhyper_adamf,Linear-p,direction,,12822,0.0004192309269126623,tail
mkgw_mhyper_adamf,Linear-p,seed_direction,1.0,4274,-0.0005812240096390021,head
mkgw_mhyper_adamf,Linear-p,seed_direction,1.0,4274,0.00020898652425200317,tail
mkgw_mhyper_adamf,Linear-p,seed_direction,2.0,4274,-0.00013249957532486512,head
mkgw_mhyper_adamf,Linear-p,seed_direction,2.0,4274,0.0006543953175118397,tail
mkgw_mhyper_adamf,Linear-p,seed_direction,3.0,4274,0.0001090274111263154,head
mkgw_mhyper_adamf,Linear-p,seed_direction,3.0,4274,0.0003943109389741439,tail
mkgw_mhyper_adamf,Clip-g,seed,1.0,8548,2.2288021668419477e-05,
mkgw_mhyper_adamf,Clip-g,seed,2.0,8548,-0.0002520105530411668,
mkgw_mhyper_adamf,Clip-g,seed,3.0,8548,-0.0005155920613897531,
mkgw_mhyper_adamf,Clip-g,direction,,12822,-0.00026223978407788703,head
mkgw_mhyper_adamf,Clip-g,direction,,12822,-0.00023463661109711324,tail
mkgw_mhyper_adamf,Clip-g,seed_direction,1.0,4274,8.86778640591551e-06,head
mkgw_mhyper_adamf,Clip-g,seed_direction,1.0,4274,3.570825693092345e-05,tail
mkgw_mhyper_adamf,Clip-g,seed_direction,2.0,4274,-0.00044396972872917613,head
mkgw_mhyper_adamf,Clip-g,seed_direction,2.0,4274,-6.005137735315735e-05,tail
mkgw_mhyper_adamf,Clip-g,seed_direction,3.0,4274,-0.00035161740991040036,head
mkgw_mhyper_adamf,Clip-g,seed_direction,3.0,4274,-0.0006795667128691059,tail
mkgw_mhyper_adamf,Linear-g,seed,1.0,8548,2.3857721801185515e-05,
mkgw_mhyper_adamf,Linear-g,seed,2.0,8548,-0.0002532994576618782,
mkgw_mhyper_adamf,Linear-g,seed,3.0,8548,-0.000514391008540601,
mkgw_mhyper_adamf,Linear-g,direction,,12822,-0.00026195711309024696,head
mkgw_mhyper_adamf,Linear-g,direction,,12822,-0.00023393138317728216,tail
mkgw_mhyper_adamf,Linear-g,seed_direction,1.0,4274,1.0519497344162292e-05,head
mkgw_mhyper_adamf,Linear-g,seed_direction,1.0,4274,3.719594625820874e-05,tail
mkgw_mhyper_adamf,Linear-g,seed_direction,2.0,4274,-0.00044617483008027657,head
mkgw_mhyper_adamf,Linear-g,seed_direction,2.0,4274,-6.042408524347985e-05,tail
mkgw_mhyper_adamf,Linear-g,seed_direction,3.0,4274,-0.0003502160065346266,head
mkgw_mhyper_adamf,Linear-g,seed_direction,3.0,4274,-0.0006785660105465752,tail
mkgw_mhyper_adamf,R0,seed,1.0,8548,0.07332887090587469,
mkgw_mhyper_adamf,R0,seed,2.0,8548,0.01596850920088106,
mkgw_mhyper_adamf,R0,seed,3.0,8548,0.06194634812329621,
mkgw_mhyper_adamf,R0,direction,,12822,0.03600225199520573,head
mkgw_mhyper_adamf,R0,direction,,12822,0.06482690015816224,tail
mkgw_mhyper_adamf,R0,seed_direction,1.0,4274,0.053881371896098915,head
