seed,dataset,pair,method,measurement_scope,n_seed_repetitions,n_queries_per_repetition,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,base_params,combiner_params,scoring_time_mean_s,scoring_time_std_s,feature_time_mean_s,feature_time_std_s,combiner_inference_time_mean_s,combiner_inference_time_std_s,score_combination_time_mean_s,score_combination_time_std_s,combiner_only_overhead_mean_s,combiner_only_overhead_std_s,total_time_mean_s,total_time_std_s,queries_per_second_mean,queries_per_second_std,peak_gpu_memory_mean_mb,peak_gpu_memory_std_mb,peak_cpu_memory_mean_mb,peak_cpu_memory_std_mb,relative_overhead_vs_primary,combiner_only_overhead_vs_global_s,combiner_only_overhead_vs_global_relative
3,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,369,2.521766139999818,0.17719713196299175,0.22351524000050632,0.04084930134234986,0.01709373999992749,0.0020404883351025156,0.09234757999993234,0.017714506539852216,0.33295656000036616,0.05804774462485923,2.8660541999999625,0.19490721165633,179.33168238868228,12.67428020751755,3024.87890625,0.0,1266.12109375,0.3996611113258957,4.594168511674662,0.1368289000000914,0.697652233243897
3,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,14,2.4615173799998047,0.1817129329874905,0.4118098999999347,0.0525989852815023,0.07902885999983482,0.017895386001298894,0.08130200000023251,0.014275977921681369,0.572140760000002,0.07974481484137201,3.0421831999999993,0.20133519097527555,168.88345553875013,11.02469679746447,3024.87060546875,0.0,1242.3,0.6096841663639001,4.937949625720923,0.37601309999972726,1.9171854699087345
1,DB15K,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.49909750000033454,0.028011532854742976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048980399999892,0.0280324210173713,1016.5452616247309,55.83931329414531,1748.44970703125,0.0,1113.63984375,0.010481568644530264,0.0,-0.24676882000039768,-1.0
1,DB15K,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,0,3.8906386199997542,0.3103031353586657,0.16227108000020962,0.019161257151995736,0.00038344000022334513,1.7939426008127153e-05,0.08411429999996471,0.005919862003311689,0.24676882000039768,0.01758618203353693,4.146500999999989,0.3003050850562038,123.98671499795289,8.791384691330551,3902.4482421875,0.0,1293.77109375,0.3801385406119639,7.212551191523893,0.0,0.0
1,DB15K,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,369,3.846059620000415,0.29842374600111987,0.22829368000029718,0.030045090389018647,0.015998640000088927,0.0005765348242072857,0.0841015600004539,0.008588200487212597,0.32839388000084,0.03815857373042709,4.1843668400000755,0.3274482807058147,122.95379560926507,9.510741699444727,3902.45654296875,0.0,1300.32734375,0.5092407798625322,7.287548194879436,0.08162506000044234,0.3307754196835353
1,DB15K,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,14,4.235602220000237,0.6456298374866232,0.47352895999956673,0.04223837559659756,0.07973500000016429,0.015101413420474498,0.08708749999996143,0.0075589019351031605,0.6403514599996925,0.05902726782646194,4.88824112000002,0.6712797325646489,106.26150744116417,13.864297944154892,3902.4482421875,0.0,1268.39296875,0.6282241059874653,8.681640118864642,0.39358263999929477,1.5949447746220957
2,DB15K,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.4800264000002244,0.019453108906708434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4847944400000415,0.01954946966123563,1057.5016135287094,42.90448460699161,1748.44970703125,0.0,1118.9828125,0.029697777826169083,0.0,-0.2651658599993425,-1.0
2,DB15K,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,0,3.743824340000356,0.279153943547593,0.1740063399990504,0.02954118126512949,0.0004774200001520512,0.00011716024029200191,0.09068210000014006,0.011254368465708814,0.2651658599993425,0.0400207542768699,4.0190393999999285,0.27865984887123263,127.84908170065225,8.215871576332741,3902.4482421875,0.0,1262.3203125,0.31451983958438534,7.290192849570602,0.0,0.0
2,DB15K,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,369,3.8734946200002924,0.40187958538521035,0.21648305999970036,0.022863931244783756,0.016097059999901832,0.0014629340251390932,0.081541819999984,0.006778010126804146,0.31412193999958615,0.03010069805086266,4.19653930000004,0.40308489163663985,122.88275069886907,11.464769847546798,3902.45654296875,0.0,1272.23125,0.46645270392613225,7.6563272054021105,0.04895608000024365,0.18462437057457182
2,DB15K,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,14,4.028401959999701,0.30536348358469473,0.5789474199998039,0.2651052907119882,0.08522853999957078,0.023174795916778474,0.10804130000033182,0.037313768539641086,0.7722172599997066,0.3239309509936724,4.810545819999879,0.6188632132693509,107.69141599768271,12.273017864731967,3902.4482421875,0.0,1268.7359375,0.3639589612693734,8.922856829792575,0.5070514000003641,1.9122046857827826
