pair_id,outer_fold,inner_fold,minimum_support,inner_global_alpha,inner_delta_mrr,inner_support_coverage,selected_for_outer_fold,pooled_inner_delta_mrr
mkg_y_native_adamf,1,3,100,0.6,0.0004137272220706677,0.19047619047619047,True,-0.00036668351569485674
mkg_y_native_adamf,2,1,10,0.6,0.001639983352628974,0.8071528751753155,True,-0.00043279465054667785
mkg_y_native_adamf,2,1,25,0.6,0.0006121804563075907,0.6332398316970547,False,-0.0006468489693920919
mkg_y_native_adamf,2,1,50,0.6,-0.00019466405268044038,0.4908835904628331,False,-0.0008746446102761023
mkg_y_native_adamf,2,1,100,0.6,8.211334829031006e-05,0.16129032258064516,False,-0.0009581333483402856
mkg_y_native_adamf,2,2,10,0.85,-0.0018989647805043258,0.8229901269393513,True,-0.00043279465054667785
mkg_y_native_adamf,2,2,25,0.85,-0.0017744137121105165,0.6297602256699577,False,-0.0006468489693920919
mkg_y_native_adamf,2,2,50,0.85,-0.0015072969117004274,0.4936530324400564,False,-0.0008746446102761023
mkg_y_native_adamf,2,2,100,0.85,-0.0008582819609714644,0.2016925246826516,False,-0.0009581333483402856
mkg_y_native_adamf,2,3,10,0.65,-0.0010519699247334962,0.7916666666666666,True,-0.00043279465054667785
mkg_y_native_adamf,2,3,25,0.65,-0.0007856124975510052,0.6362994350282486,False,-0.0006468489693920919
mkg_y_native_adamf,2,3,50,0.65,-0.0009258814123324023,0.451271186440678,False,-0.0008746446102761023
mkg_y_native_adamf,2,3,100,0.65,-0.0021057188403489136,0.22245762711864406,False,-0.0009581333483402856
mkg_y_native_adamf,3,1,10,0.55,-0.0023365540503633756,0.8232394366197183,False,-0.0020799007129797347
mkg_y_native_adamf,3,1,25,0.55,-0.0010746334863791069,0.6464788732394366,False,-0.001759464987637766
mkg_y_native_adamf,3,1,50,0.55,-0.0010428796585802902,0.4704225352112676,False,-0.0013906108877722281
mkg_y_native_adamf,3,1,100,0.55,-2.8285745659173463e-05,0.21267605633802816,True,-0.00039002141025644313
mkg_y_native_adamf,3,2,10,0.55,-0.002080165242271482,0.8026685393258427,False,-0.0020799007129797347
mkg_y_native_adamf,3,2,25,0.55,-0.0028530672208955266,0.6088483146067416,False,-0.001759464987637766
mkg_y_native_adamf,3,2,50,0.55,-0.002532785254666717,0.4691011235955056,False,-0.0013906108877722281
mkg_y_native_adamf,3,2,100,0.55,-0.0010614289577373353,0.19662921348314608,True,-0.00039002141025644313
mkg_y_native_adamf,3,3,10,0.55,-0.0018226197335747861,0.8272214386459803,False,-0.0020799007129797347
mkg_y_native_adamf,3,3,25,0.55,-0.0013470327955561327,0.6488011283497884,False,-0.001759464987637766
mkg_y_native_adamf,3,3,50,0.55,-0.0005918253073736384,0.4689703808180536,False,-0.0013906108877722281
mkg_y_native_adamf,3,3,100,0.55,-7.801879820801742e-05,0.20874471086036672,True,-0.00039002141025644313
mkg_y_native_adamf,4,1,10,0.6,0.0011480860083890579,0.8283898305084746,False,0.0004739980554456839
mkg_y_native_adamf,4,1,25,0.6,0.0002699599803829948,0.5988700564971752,False,0.00021367257519058663
mkg_y_native_adamf,4,1,50,0.6,0.0007428991706707474,0.4781073446327684,True,0.0004926610452209702
mkg_y_native_adamf,4,1,100,0.6,-0.00011515255660704755,0.1977401129943503,False,-0.00015293660874740882
mkg_y_native_adamf,4,2,10,0.7,6.21891684019954e-05,0.7997198879551821,False,0.0004739980554456839
mkg_y_native_adamf,4,2,25,0.7,0.0001780408786495666,0.6246498599439776,False,0.00021367257519058663
mkg_y_native_adamf,4,2,50,0.7,-0.00015108857035600894,0.5063025210084033,True,0.0004926610452209702
mkg_y_native_adamf,4,2,100,0.7,2.060238460210105e-05,0.16806722689075632,False,-0.00015293660874740882
mkg_y_native_adamf,4,3,10,0.55,0.00021520889536840257,0.8163841807909604,False,0.0004739980554456839
mkg_y_native_adamf,4,3,25,0.55,0.0001933188300692071,0.672316384180791,False,0.00021367257519058663
mkg_y_native_adamf,4,3,50,0.55,0.0008916280405649264,0.4781073446327684,True,0.0004926610452209702
mkg_y_native_adamf,4,3,100,0.55,-0.0003657303236724453,0.1574858757062147,False,-0.00015293660874740882
mkg_y_native_adamf,5,1,10,0.6,-0.0020509381307057687,0.8085553997194951,False,-0.0010276672464924626
mkg_y_native_adamf,5,1,25,0.6,-0.0017580406026373608,0.6318373071528752,False,-0.0015985558387938033
mkg_y_native_adamf,5,1,50,0.6,-0.0011937146650647828,0.45582047685834504,False,-0.001112816687250891
mkg_y_native_adamf,5,1,100,0.6,0.00019356528549618272,0.15568022440392706,True,5.193577637767167e-06
mkg_y_native_adamf,5,2,10,0.55,-0.0008770210059635118,0.8158263305322129,False,-0.0010276672464924626
mkg_y_native_adamf,5,2,25,0.55,-0.002208961877756686,0.626750700280112,False,-0.0015985558387938033
mkg_y_native_adamf,5,2,50,0.55,-0.001902503464855163,0.4803921568627451,False,-0.001112816687250891
mkg_y_native_adamf,5,2,100,0.55,-0.00017756133737676917,0.17647058823529413,True,5.193577637767167e-06
mkg_y_native_adamf,5,3,10,0.65,-0.00015033195071472428,0.808885754583921,False,-0.0010276672464924626
mkg_y_native_adamf,5,3,25,0.65,-0.0008234605659588872,0.6086036671368125,False,-0.0015985558387938033
mkg_y_native_adamf,5,3,50,0.65,-0.00023620650757422634,0.47390691114245415,False,-0.001112816687250891
mkg_y_native_adamf,5,3,100,0.65,-1.971394040823948e-07,0.1755994358251058,True,5.193577637767167e-06
