pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkg_y_mhyper_adamf,L4,"[1,""tail"",2,""text_and_image""]",5,0.95,0.0,80.0
mkg_y_mhyper_adamf,L4,"[1,""tail"",2,""text_only""]",3,0.75,0.0,11.666666666666666
mkg_y_mhyper_adamf,L4,"[1,""tail"",3,""text_and_image""]",4,0.65,0.0,28.75
mkg_y_mhyper_adamf,L4,"[1,""tail"",1,""text_only""]",4,0.425,0.07500000000000001,14.5
mkg_y_mhyper_adamf,L4,"[2,""tail"",3,""image_only""]",4,0.75,0.0,13.0
mkg_y_mhyper_adamf,L4,"[2,""tail"",1,""text_and_image""]",4,0.15,0.0,23.5
mkg_y_mhyper_adamf,L4,"[2,""tail"",3,""text_and_image""]",4,0.35,0.0,37.5
mkg_y_mhyper_adamf,L4,"[2,""tail"",2,""text_and_image""]",4,0.0,0.0,18.75
mkg_y_mhyper_adamf,L4,"[3,""tail"",3,""image_only""]",4,0.5,0.0,21.25
mkg_y_mhyper_adamf,L4,"[3,""tail"",3,""text_and_image""]",5,1.0,0.0,80.8
mkg_y_mhyper_adamf,L4,"[3,""tail"",2,""text_and_image""]",4,0.3,0.024999999999999994,41.75
mkg_y_mhyper_adamf,L4,"[3,""tail"",2,""image_only""]",4,0.85,0.04999999999999999,23.75
mkg_y_mhyper_adamf,L4,"[3,""tail"",1,""text_and_image""]",5,0.2,0.0,96.8
mkg_y_mhyper_adamf,L4,"[3,""tail"",1,""image_only""]",4,0.875,0.025000000000000022,34.5
mkg_y_mhyper_adamf,L4,"[3,""tail"",0,""text_and_image""]",4,0.7,0.0,23.75
mkg_y_mhyper_adamf,L4,"[4,""tail"",2,""text_and_image""]",5,1.0,0.0,93.6
mkg_y_mhyper_adamf,L4,"[4,""tail"",1,""text_and_image""]",5,1.0,0.0,115.2
mkg_y_mhyper_adamf,L4,"[4,""tail"",3,""text_and_image""]",4,0.9,0.0,29.25
mkg_y_mhyper_adamf,L4,"[4,""tail"",1,""text_only""]",4,0.65,0.0,14.75
mkg_y_mhyper_adamf,L4,"[4,""tail"",0,""text_and_image""]",4,0.15000000000000002,0.05,13.5
mkg_y_mhyper_adamf,L4,"[5,""tail"",1,""text_and_image""]",4,0.7250000000000001,0.07500000000000007,46.75
mkg_y_mhyper_adamf,L4,"[5,""tail"",0,""text_and_image""]",4,0.2,0.0,19.25
mkg_y_mhyper_adamf,L4,"[6,""tail"",3,""text_and_image""]",4,0.25,0.0,33.0
mkg_y_mhyper_adamf,L4,"[6,""tail"",3,""image_only""]",4,0.325,0.07500000000000001,11.75
mkg_y_mhyper_adamf,L4,"[6,""tail"",2,""text_and_image""]",4,0.65,0.0,26.75
mkg_y_mhyper_adamf,L4,"[6,""tail"",2,""image_only""]",3,0.6,0.0,11.0
mkg_y_mhyper_adamf,L4,"[6,""tail"",1,""image_only""]",4,0.35,0.0,13.25
mkg_y_mhyper_adamf,L4,"[6,""tail"",1,""text_and_image""]",4,0.6,0.0,42.0
mkg_y_mhyper_adamf,L4,"[8,""tail"",1,""text_and_image""]",4,0.75,0.09999999999999998,11.5
mkg_y_mhyper_adamf,L4,"[9,""tail"",3,""text_and_image""]",5,0.15,0.0,189.6
mkg_y_mhyper_adamf,L4,"[9,""tail"",2,""text_and_image""]",5,0.5,0.0,85.6
mkg_y_mhyper_adamf,L4,"[9,""tail"",3,""image_only""]",5,0.1,0.0,111.2
mkg_y_mhyper_adamf,L4,"[9,""tail"",2,""image_only""]",5,0.0,0.0,68.0
mkg_y_mhyper_adamf,L4,"[9,""tail"",1,""text_and_image""]",5,0.8,0.0,100.8
mkg_y_mhyper_adamf,L4,"[9,""tail"",1,""image_only""]",4,0.425,0.19999999999999998,44.75
mkg_y_mhyper_adamf,L4,"[9,""tail"",0,""text_and_image""]",4,0.7,0.30000000000000004,13.25
mkg_y_mhyper_adamf,L4,"[12,""tail"",3,""text_and_image""]",4,0.25,0.024999999999999994,29.0
mkg_y_native_adamf,L0,"[""global""]",5,0.55,0.0,2132.0
mkg_y_native_adamf,L1,"[""head""]",5,0.55,0.04999999999999993,2132.0
mkg_y_native_adamf,L1,"[""tail""]",5,0.6,0.04999999999999993,2132.0
mkg_y_native_adamf,L2,[0],5,0.5,0.0,58.4
mkg_y_native_adamf,L2,[1],5,0.95,0.0,264.8
mkg_y_native_adamf,L2,[2],5,0.5,0.15000000000000002,108.0
mkg_y_native_adamf,L2,[3],5,0.4,0.0,332.0
mkg_y_native_adamf,L2,[4],5,0.6,0.0,298.4
mkg_y_native_adamf,L2,[5],5,0.8,0.0,103.2
mkg_y_native_adamf,L2,[6],5,0.45,0.0,148.0
mkg_y_native_adamf,L2,[8],5,0.95,0.0,36.0
mkg_y_native_adamf,L2,[9],5,0.6,0.0,623.2
mkg_y_native_adamf,L2,[10],5,0.7,0.0,27.2
mkg_y_native_adamf,L2,[12],5,0.65,0.0,63.2
mkg_y_native_adamf,L3,"[0,""head""]",5,0.55,0.050000000000000044,58.4
mkg_y_native_adamf,L3,"[1,""head""]",5,0.95,0.0,264.8
mkg_y_native_adamf,L3,"[2,""head""]",5,0.15,0.0,108.0
mkg_y_native_adamf,L3,"[3,""head""]",5,0.4,0.09999999999999998,332.0
mkg_y_native_adamf,L3,"[4,""head""]",5,0.85,0.0,298.4
mkg_y_native_adamf,L3,"[5,""head""]",5,0.8,0.10000000000000009,103.2
mkg_y_native_adamf,L3,"[6,""head""]",5,0.05,0.0,148.0
mkg_y_native_adamf,L3,"[8,""head""]",5,0.85,0.0,36.0
mkg_y_native_adamf,L3,"[9,""head""]",5,0.6,0.0,623.2
mkg_y_native_adamf,L3,"[10,""head""]",5,0.65,0.0,27.2
mkg_y_native_adamf,L3,"[12,""head""]",5,0.65,0.0,63.2
mkg_y_native_adamf,L3,"[0,""tail""]",5,0.1,0.0,58.4
mkg_y_native_adamf,L3,"[1,""tail""]",5,0.6,0.25,264.8
mkg_y_native_adamf,L3,"[2,""tail""]",5,0.65,0.0,108.0
mkg_y_native_adamf,L3,"[3,""tail""]",5,0.4,0.0,332.0
mkg_y_native_adamf,L3,"[4,""tail""]",5,0.6,0.0,298.4
mkg_y_native_adamf,L3,"[5,""tail""]",5,0.4,0.15000000000000002,103.2
mkg_y_native_adamf,L3,"[6,""tail""]",5,0.6,0.04999999999999993,148.0
mkg_y_native_adamf,L3,"[8,""tail""]",5,0.95,0.0,36.0
mkg_y_native_adamf,L3,"[9,""tail""]",5,0.45,0.0,623.2
mkg_y_native_adamf,L3,"[10,""tail""]",5,0.7,0.0,27.2
mkg_y_native_adamf,L3,"[12,""tail""]",5,0.85,0.09999999999999998,63.2
mkg_y_native_adamf,L4,"[1,""head"",3,""text_and_image""]",5,0.95,0.0,134.4
mkg_y_native_adamf,L4,"[3,""head"",1,""text_and_image""]",5,0.3,0.0,184.8
mkg_y_native_adamf,L4,"[4,""head"",3,""text_and_image""]",5,0.6,0.0,148.0
mkg_y_native_adamf,L4,"[9,""head"",1,""text_and_image""]",5,0.6,0.0,337.6
mkg_y_native_adamf,L4,"[9,""head"",2,""text_and_image""]",5,0.35,0.19999999999999998,111.2
mkg_y_native_adamf,L4,"[3,""tail"",1,""text_and_image""]",3,0.4,0.0,97.33333333333333
mkg_y_native_adamf,L4,"[4,""tail"",2,""text_and_image""]",3,0.6,0.0,94.33333333333333
mkg_y_native_adamf,L4,"[4,""tail"",1,""text_and_image""]",5,0.65,0.0,115.2
mkg_y_native_adamf,L4,"[9,""tail"",3,""text_and_image""]",5,0.75,0.0,189.6
mkg_y_native_adamf,L4,"[9,""tail"",3,""image_only""]",5,0.05,0.0,111.2
mkg_y_native_adamf,L4,"[9,""tail"",1,""text_and_image""]",4,0.7,0.025000000000000022,102.75
mkg_y_native_adamf,L4,"[1,""head"",3,""image_only""]",2,0.75,0.0,54.5
mkg_y_native_adamf,L4,"[2,""head"",1,""text_and_image""]",2,0.35,0.05000000000000002,52.5
mkg_y_native_adamf,L4,"[4,""head"",3,""image_only""]",2,0.775,0.125,50.0
mkg_y_native_adamf,L4,"[6,""head"",1,""text_and_image""]",2,0.25,0.2,95.0
mkg_y_native_adamf,L4,"[1,""tail"",1,""text_and_image""]",2,0.75,0.0,88.5
mkg_y_native_adamf,L4,"[1,""tail"",2,""text_and_image""]",2,0.775,0.125,83.5
mkg_y_native_adamf,L4,"[3,""tail"",3,""text_and_image""]",2,0.925,0.024999999999999967,83.0
mkg_y_native_adamf,L4,"[5,""tail"",1,""text_and_image""]",2,0.25,0.0,48.5
mkg_y_native_adamf,L4,"[9,""tail"",2,""text_and_image""]",2,0.275,0.175,85.0
mkg_y_native_adamf,L4,"[9,""tail"",2,""image_only""]",2,0.0,0.0,69.5
