dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_adamf,R0,-0.3,25656,0.03875701807891978,0.033709648693277736,0.1996586074141091,0.4446913002806361,0.5919156345026372,0.1472243342220011,0.6726738515632777,0.21145151231680698,0.2080745203470405,-0.003376991969766485,0.5006285922935715,0.5990782036818697,0.0990782036818697,0.5658601913891137,0.6561428125974431,-0.09028262120832942,0.0046995574240996695,0.6605611847233047,0.18472330475448168,False,25656
mkg_w,mkgw_mhyper_adamf,R0,-0.2,25656,0.027105308355045737,0.022834390959293946,0.1792831989803652,0.43740255690676644,0.5694045291932506,0.13200197228648414,0.6586684474643487,0.18065949485500468,0.17103022302208926,-0.009629271832915426,0.4827986879304494,0.5773693971062005,0.0773693971062005,0.5394913977531769,0.6180620517617711,-0.0785706540085942,0.0014023821073421694,0.6282151208106002,0.18082618862042088,False,25656
mkg_w,mkgw_mhyper_adamf,R0,-0.1,25656,0.015056994542366794,0.01174750734783079,0.1141987698943227,0.41456189585282194,0.48083750891604704,0.0662756130632251,0.5916756284337443,0.1402790770190209,0.1322111148481634,-0.008067962170857507,0.4822100140328281,0.5388690508969888,0.03886905089698878,0.5171131594130456,0.5548409728718429,-0.03772781345879728,-0.0010128649689179281,0.5023382696804365,0.14341387373343725,False,25656
mkg_w,mkgw_mhyper_adamf,R0,-0.05,25656,0.009044452646367633,0.006296591577874348,0.08119111204685393,0.387784533832242,0.43283694856306837,0.045052414730826384,0.5644401619840739,0.11217648893046461,0.10589370529978688,-0.006282783630677732,0.47981626413597456,0.5219663194033839,0.021966319403383894,0.4826523032410775,0.4999610227627066,-0.0173087195216291,-0.002054524587288207,0.44583008573655497,0.11964146531566641,False,25656
mkg_w,mkgw_mhyper_adamf,R1,-0.3,25656,0.03910087827153821,0.03380110387121064,0.23184821644655107,0.4446913002806361,0.6235786291523758,0.17888732887173975,0.6966102069468282,0.21145151231680698,0.2102616618170196,-0.0011898504997873705,0.49961769215332497,0.6110348164780574,0.11103481647805735,0.5470255307326225,0.6561428125974431,-0.10911728186482061,0.015449959343425634,0.7042088854247857,0.18277474668745128,False,25656
mkg_w,mkgw_mhyper_adamf,R1,-0.2,25656,0.027137357096981344,0.02280615393989894,0.20124202528492122,0.43740255690676644,0.5886016963052745,0.15119913939850804,0.6723177408871956,0.18065949485500468,0.17344401684392605,-0.007215478011078635,0.48500708209446075,0.585771111107266,0.08577111110726598,0.5247656604591907,0.6180620517617711,-0.09329639130258038,0.00526209310942124,0.6527669524551831,0.18082618862042088,False,25656
mkg_w,mkgw_mhyper_adamf,R1,-0.1,25656,0.014865001157289863,0.01164872357474397,0.14304568836477558,0.41456189585282194,0.5100659495596332,0.09550405370681131,0.6190225086621374,0.1402790770190209,0.1315742903505547,-0.008704786668466191,0.4770178789721138,0.5503823196468953,0.050382319646895324,0.49762150370207947,0.5548409728718429,-0.05721946916976339,0.001731220952128388,0.5533904910366328,0.14770070148090414,False,25656
mkg_w,mkgw_mhyper_adamf,R1,-0.05,25656,0.008935042711838165,0.006233547301826733,0.09736378366506195,0.387784533832242,0.4414368167429972,0.05365228291075519,0.5804568601964627,0.11217648893046461,0.10194390058009715,-0.010232588350367458,0.468557480606691,0.5213165846302592,0.021316584630259205,0.4589027589612421,0.4999610227627066,-0.04105826380146449,-0.0008498447728634718,0.4469992205767732,0.11964146531566641,False,25656
mkg_w,mkgw_mhyper_adamf,R2,-0.3,25656,0.040818705521641456,0.03462980367831048,0.2167377257717304,0.4446913002806361,0.6206598518615424,0.1759685515809063,0.6824402334375592,0.21145151231680698,0.215721773965018,0.00427026164821101,0.5087097480323463,0.6101188688855471,0.11011886888554712,0.5629521813097086,0.6561428125974431,-0.09319063128773453,0.011910913173321123,0.7240841777084958,0.17147310989867498,True,25656
mkg_w,mkgw_mhyper_adamf,R2,-0.2,25656,0.028316816004301398,0.02330068375052455,0.18305655325965015,0.43740255690676644,0.587538218296398,0.15013566138963153,0.658552114014646,0.18065949485500468,0.17644940052840846,-0.00421009432659622,0.4894384754301537,0.582098636193315,0.08209863619331503,0.5397543229947566,0.6180620517617711,-0.07830772876701453,0.004891986936595306,0.6858924395946999,0.16952455183164458,False,25656
