dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_adamf,R1,2,34208,0.021178937688867482,0.017285663757687066,0.1623794126794145,0.42323433115060805,0.529906160565247,0.10667182941463893,0.6320614786004205,0.15616230121608982,0.16168554439593952,0.005523243179849702,0.5071787445380471,0.5818291145620236,0.08182911456202357,0.5139104853352101,0.5793966323666978,-0.0654861470314877,0.0067951563924779175,0.5776088862905583,0.14294066062554808,True,8552
mkg_w,mkgw_mhyper_adamf,R1,3,34208,0.023033250026642655,0.019159812872633335,0.15848857022063237,0.421421889616464,0.5219555075224069,0.10053361790594295,0.6265206654338303,0.16157039289055192,0.17439536905923333,0.012824976168681418,0.5178536936504377,0.5873993589536344,0.08739935895363438,0.5230931029399831,0.582992282507016,-0.059899179567032834,0.004402638502980127,0.5475007307804736,0.160479391990646,True,8552
mkg_w,mkgw_mhyper_adamf,R2,1,34208,0.02418006404721104,0.019816458361394652,0.15521854329557574,0.4186739943872778,0.5371394866352255,0.11846549224794767,0.6252730688510602,0.16569223573433114,0.18199753804105961,0.01630530230672847,0.5225082978538212,0.5905111091926718,0.0905111091926718,0.5359410764604197,0.5843662301216089,-0.04842515366118927,0.0012649993173947489,0.6118094124524993,0.15434083601286175,True,8552
mkg_w,mkgw_mhyper_adamf,R2,2,34208,0.022019188454100735,0.017657740601906773,0.16312633618254266,0.42323433115060805,0.557220695504925,0.133986364354317,0.6346815557477248,0.15616230121608982,0.16541652442775304,0.00925422321166322,0.5149302274419325,0.5893651680503227,0.08936516805032269,0.5323663604466339,0.5793966323666978,-0.047030271920063926,0.007271145950546419,0.6571178018123356,0.14703303127740427,True,8552
mkg_w,mkgw_mhyper_adamf,R2,3,34208,0.023881203663726192,0.01953368342460553,0.14507102520135537,0.421421889616464,0.5326005206860462,0.11117863106958226,0.6181421687744553,0.16157039289055192,0.1756992711811828,0.014128878290630892,0.5232824415273524,0.5869859284268308,0.08698592842683084,0.5397000959597372,0.582992282507016,-0.04329218654727873,0.0033111774902786694,0.6100555393159894,0.15580239695995324,True,8552
mkg_w,mkgw_mhyper_adamf,R3,1,34208,0.023847993040944378,0.019665715586452352,0.1724338304554233,0.4186739943872778,0.5476092481327063,0.12893525374542847,0.6411065486342955,0.16569223573433114,0.18087710903361964,0.015184873299288498,0.5207584107338115,0.597981479899207,0.09798147989920702,0.526748161867076,0.5843662301216089,-0.05761806825453297,0.003797197699515819,0.6308097047646887,0.14878690441391407,True,8552
mkg_w,mkgw_mhyper_adamf,R3,2,34208,0.021698886817654656,0.01754848483964615,0.15404784707594774,0.42323433115060805,0.5456236249958342,0.12238929384522612,0.6336404861821915,0.15616230121608982,0.16169391095953595,0.005531609743446131,0.5089061261731125,0.5847397908465052,0.08473979084650518,0.518854369418377,0.5793966323666978,-0.06054226294832077,0.00799911400591274,0.6293481438175972,0.14469453376205788,True,8552
mkg_w,mkgw_mhyper_adamf,R3,3,34208,0.02369683720873372,0.01948390602482116,0.14632826348197936,0.421421889616464,0.5331270407365738,0.11170515112010981,0.6254476371830859,0.16157039289055192,0.17229237767583014,0.010721984785278221,0.513633831949426,0.5831027802271043,0.08310278022710427,0.5256177989083819,0.582992282507016,-0.05737448359863406,0.004159837261697366,0.5933937445191464,0.15434083601286175,True,8552
mkg_w,mkgw_mhyper_native,R0,1,68416,0.021229899538955856,0.018679572025045665,0.20594526067250116,0.2746872076707203,0.3603785399232379,0.08569133225251757,0.6111112272781652,0.30234155753040226,0.3852712651671709,0.08292970763676866,0.6010212492967105,0.6492816377751934,0.14928163777519343,0.6009664385943018,0.5770287652011226,0.023937673393179204,0.005555831721786082,0.4049985384390529,0.19789535223618826,True,8552
mkg_w,mkgw_mhyper_native,R0,2,68416,0.02175814096540617,0.019154658302668767,0.21979951375592602,0.2765727315247895,0.3733732572514136,0.09680052572662412,0.625330961100996,0.3059810570626754,0.3905581801917263,0.08457712312905086,0.6067609135411577,0.6621481521739339,0.16214815217393386,0.6077670163352771,0.5825537885874649,0.025213227747812206,0.0053411042439585775,0.4288219818766443,0.19117217187956737,True,8552
