dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_native,R1,55,240,0.03413639144807038,0.029110335922840156,0.24967114494861312,0.4,0.5012007660252356,0.10120076602523553,0.5912905092592593,0.4375,0.7001638683504263,0.2626638683504263,0.708994708994709,0.6791666666666667,0.1791666666666667,0.7970221951108144,0.8375,-0.04047780488918562,0.06879163104238199,0.6666666666666666,0.25,True,30
mkg_w,mkgw_mhyper_native,R1,56,2304,0.03302184986642397,0.030161039357802025,0.2558102013578529,0.2378472222222222,0.3761031403594393,0.1382559181372171,0.6472168415276923,0.2517361111111111,0.360625886820936,0.10888977570982489,0.6203426274101929,0.6938648376541656,0.19386483765416562,0.5562424492011385,0.4895833333333333,0.06665911586780521,0.018888497236992,0.46956521739130436,0.16521739130434782,True,288
mkg_w,mkgw_mhyper_native,R1,57,576,0.03613106050785255,0.03297509356750884,0.34140022923923463,0.2881944444444444,0.3962968305269814,0.10810238608253697,0.6822068762856304,0.2465277777777778,0.4087874562102017,0.1622596784324239,0.6906925423508795,0.7714237230612592,0.27142372306125917,0.5249267738679685,0.5347222222222222,-0.009795448354253722,0.03282172473548525,0.3793103448275862,0.10344827586206896,True,72
mkg_w,mkgw_mhyper_native,R1,58,1584,0.027365559842885835,0.02397725349331845,0.22097850999169266,0.3371212121212121,0.4966056865010411,0.159484474379829,0.635111467808097,0.33080808080808083,0.4278491266882356,0.09704104588015477,0.5692622065389601,0.6270942333533465,0.12709423335334646,0.7946967264548365,0.6679292929292929,0.12676743352554354,0.013782294414206756,0.5886075949367089,0.31645569620253167,True,198
mkg_w,mkgw_mhyper_native,R1,59,1296,0.024780146838245136,0.021108631133738776,-0.02306111569837784,0.2662037037037037,0.2824890939526331,0.016285390248929388,0.5317027080571176,0.2762345679012346,0.28381991395089634,0.0075853460496617675,0.4756852211409036,0.5056513642620031,0.005651364262003078,0.5829597656308972,0.5424382716049383,0.04052149402595895,-0.00042254615295977683,0.3076923076923077,0.2692307692307692,False,162
mkg_w,mkgw_mhyper_native,R1,61,816,0.013181182148880003,0.010356806552280546,0.09457107673694967,0.2855392156862745,0.305172795317802,0.01963357963152751,0.5472655128497707,0.3014705882352941,0.35605963083928155,0.05458904260398745,0.5827128797603766,0.591629156634914,0.091629156634914,0.5717093579969218,0.5870098039215687,-0.015300445924646855,-0.00613081352926463,0.2926829268292683,0.3048780487804878,False,102
mkg_w,mkgw_mhyper_native,R1,62,240,0.018177455053655242,0.013817559580942934,-0.12588123287208955,0.3416666666666667,0.3209398157765109,-0.0207268508901558,0.4729854893485644,0.37083333333333335,0.35677912708651066,-0.014054206246822687,0.4045687923208572,0.41805974239517674,-0.08194025760482326,0.6827375960358225,0.7125,-0.02976240396417751,-0.028011997541231376,0.2916666666666667,0.5833333333333334,False,30
mkg_w,mkgw_mhyper_native,R1,64,768,0.02167282101328478,0.019342242097038706,0.11591132076139833,0.13411458333333334,0.2296141873999944,0.09549960406666105,0.6010365720125557,0.15364583333333334,0.23095231433784125,0.0773064810045079,0.5490808344198175,0.6282705282211618,0.1282705282211618,0.35736150272774947,0.2877604166666667,0.06960108606108278,0.009706749515479738,0.22077922077922077,0.09090909090909091,True,96
mkg_w,mkgw_mhyper_native,R1,65,96,0.003928736269916191,0.0006783619631519572,0.05137004883342377,0.5208333333333334,0.5729073489816807,0.05207401564834735,0.5230434782608696,0.4791666666666667,0.573773755631555,0.09460708896488829,0.5230434782608696,0.5230434782608696,0.02304347826086961,1.0,1.0,0.0,0.0006354300267441801,0.5,0.5,True,12
mkg_w,mkgw_mhyper_native,R1,66,240,0.03947273749702917,0.03710874791242067,-0.30023793171203544,0.0625,0.03867965550982402,-0.023820344490175983,0.1768888888888889,0.0125,0.009334171834171835,-0.003165828165828166,0.1420534458509142,0.0,-0.5,0.19026546656408505,0.075,0.11526546656408505,-0.041666666666666664,0.0,0.08333333333333333,False,30
mkg_w,mkgw_mhyper_native,R1,67,384,0.02131553038442711,0.017569198882354697,0.2643915607842387,0.4270833333333333,0.5316224562173235,0.1045391228839902,0.6126662971175166,0.4505208333333333,0.5970791349001559,0.14655830156682254,0.6121414678245624,0.6262159875934019,0.1262159875934019,0.8731404716952952,0.8776041666666666,-0.004463694971371446,-0.010926469984483348,0.5526315789473685,0.2894736842105263,False,48
mkg_w,mkgw_mhyper_native,R1,68,48,0.0034925607960668756,0.0007364495391606248,0.008740025087404017,0.375,0.306944868781197,-0.06805513121880302,0.3611111111111111,0.625,0.5783034459747429,-0.046696554025257075,0.3611111111111111,0.3611111111111111,-0.1388888888888889,1.0,1.0,0.0,-0.00015443666801774999,0.0,1.0,False,6
mkg_w,mkgw_mhyper_native,R1,69,96,0.018653437107425046,0.016461870515603744,0.33738331995040544,0.3229166666666667,0.3885606001092357,0.06564393344256902,0.5955334987593052,0.2604166666666667,0.46595760458164137,0.2055409379149747,0.7673239436619719,0.7767741935483871,0.27677419354838706,0.51727054747715,0.5833333333333334,-0.06606278585618341,0.03335032090984345,0.3,0.0,True,12
mkg_w,mkgw_mhyper_native,R1,71,192,0.034357500472789786,0.030598285569950912,0.32903175564232634,0.3541666666666667,0.5809577478532408,0.22679108118657415,0.6448055028462998,0.3541666666666667,0.5521357199662313,0.19796905329956466,0.631404174573055,0.6734429065743944,0.17344290657439443,0.8205776024600063,0.7083333333333334,0.11224426912667296,0.18762879420774156,0.7894736842105263,0.10526315789473684,True,24
mkg_w,mkgw_mhyper_native,R1,72,1296,0.022418037482488582,0.019412649860959714,0.2101420670152951,0.32021604938271603,0.4284791785326924,0.10826312914997638,0.6390109814969298,0.3464506172839506,0.41273630868155925,0.06628569139760865,0.5949571788810502,0.6584753266965412,0.15847532669654119,0.6452550194012995,0.6666666666666666,-0.02141164726536715,0.0030269836861876653,0.47692307692307695,0.23076923076923078,True,162
mkg_w,mkgw_mhyper_native,R1,73,96,0.01681223062613572,0.015355596397934537,0.3278818305222349,0.2708333333333333,0.5742116410540729,0.30337830772073954,0.8043956043956044,0.2604166666666667,0.2967163367846535,0.03629967011798679,0.5059154929577465,0.7615384615384615,0.2615384615384615,0.592361686313744,0.53125,0.061111686313743974,0.002378954929236628,0.6,0.1,True,12
mkg_w,mkgw_mhyper_native,R1,74,48,0.0010501126137872077,4.569304539080021e-05,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,False,6
mkg_w,mkgw_mhyper_native,R1,75,96,0.07708147679998843,0.07344129033093282,-0.432339896367932,0.2604166666666667,0.16771035821091013,-0.09270630845575656,0.1791549295774648,0.020833333333333332,0.03970125786163522,0.018867924528301886,0.6063829787234043,0.3,-0.2,0.4412444054548669,0.28125,0.15999440545486687,0.0,0.0,0.0,False,12
mkg_w,mkgw_mhyper_native,R1,77,576,0.03982491677362322,0.035972156485749134,0.21823981296935036,0.3003472222222222,0.47904950337205654,0.17870228114983433,0.6565642077482465,0.3125,0.4286221641421044,0.11612216414210441,0.5719977553310887,0.6531470777135517,0.15314707771355174,0.7409517214846286,0.6128472222222222,0.1281044992624064,0.02655328369062879,0.603448275862069,0.1724137931034483,True,72
mkg_w,mkgw_mhyper_native,R1,79,384,0.034850830693967,0.03156638928479643,0.3798387807199771,0.2421875,0.41953435596964406,0.17734685596964406,0.7362820086464915,0.25,0.4002508380265817,0.15025083802658168,0.6695240162037037,0.7917786738351255,0.29177867383512546,0.5401291605824121,0.4921875,0.047941660582412116,0.0714363920573676,0.4473684210526316,0.13157894736842105,True,48
mkg_w,mkgw_mhyper_native,R1,80,240,0.04920206094824898,0.046399120422807846,-0.04454455360136193,0.25416666666666665,0.29461481496826475,0.0404481483015981,0.46423665170803186,0.2708333333333333,0.23512735206881621,-0.0357059812645171,0.458989010989011,0.43581336696090794,-0.06418663303909206,0.49175907605313335,0.525,-0.033240923946866674,0.0008361739254773583,0.5,0.125,False,30
mkg_w,mkgw_mhyper_native,R1,81,96,0.05631218314554653,0.05070032841247079,0.1319003316331737,0.23958333333333334,0.23262001853742642,-0.006963314795906922,0.4723049434187016,0.3020833333333333,0.35930474441317395,0.057221411079840634,0.6145136387030365,0.5592203898050975,0.05922038980509747,0.5641885442601532,0.5416666666666666,0.02252187759348656,-0.0017857142857142904,0.1,0.1,False,12
