relation_id,relation_name,n_queries,mean_rr_gate,mean_rr_residual,mean_delta_rr,mean_delta_rr_raw,mean_delta_rr_shrunk,fusion_win_rate,struct_win_rate,head_has_img_ratio,tail_no_img_ratio,is_visual_prior
66,rel_0066,396,0.13672411541688684,0.4437467585504976,-0.29226193913680276,-0.307022643133611,-0.29226193913680276,0.3181818181818182,0.6313131313131313,0.3560606060606061,0.5,0
68,rel_0068,6,0.0011615723448534087,0.0061496717744944605,-0.0011510998683787047,-0.004988099429641054,-0.0011510998683787047,0.6666666666666666,0.3333333333333333,0.0,0.5,0
69,rel_0069,138,0.09373971369220237,0.2481618917425471,-0.1348750669047315,-0.15442217805034475,-0.1348750669047315,0.5652173913043478,0.39855072463768115,0.41304347826086957,0.5,0
70,rel_0070,48,0.043102887022074376,0.3752049678643892,-0.234424998241634,-0.3321020808423148,-0.234424998241634,0.5833333333333334,0.4166666666666667,0.125,0.5,0
71,rel_0071,90,0.1266178611938061,0.14197139738240858,-0.012561984154311069,-0.015353536188602416,-0.012561984154311069,0.7444444444444445,0.24444444444444444,0.4,0.5,0
72,rel_0072,78,0.23724092399625654,0.410551602633162,-0.13794115238447577,-0.17331067863690544,-0.13794115238447577,0.4230769230769231,0.3717948717948718,0.5,0.5,0
73,rel_0073,24,0.029225642190271472,0.09296448535590814,-0.0347666417267109,-0.06373884316563666,-0.0347666417267109,0.4583333333333333,0.5416666666666666,0.375,0.5,0
74,rel_0074,12,0.003613563167100572,0.0010934614415591924,0.0009450381470780173,0.0025201017255413794,0.0009450381470780173,0.8333333333333334,0.16666666666666666,0.0,0.5,1
77,rel_0077,6,0.1021235830637876,0.0007569058694577614,0.02339231012176843,0.10136667719432986,0.02339231012176843,1.0,0.0,0.0,0.5,1
78,rel_0078,1332,0.21277694974418493,0.38579756111701774,-0.17046113487323453,-0.17302061137283264,-0.17046113487323453,0.3963963963963964,0.4894894894894895,0.3761261261261261,0.5,0
79,rel_0079,36,0.2697800685096885,0.29872321352888065,-0.01860630751233777,-0.028943145019192082,-0.01860630751233777,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.5,0
