split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,3,15844,0.36001839554089843,0.38159433865871994,-0.021575943117821454,0.3071194142893209,0.3706765968189851,0.14500137647547617,0.0,0.9999368846250947,0.44792981570310525,0.65,0.0,4866,5873,5105,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,1,15844,0.3844266732486266,0.3841293779489628,0.00029729529966383015,0.06040141378439788,0.10287806109568291,0.06857348848788179,0.5302953799545569,0.1721787427417319,0.09403875284019188,0.6,0.5083312294875032,957,1630,13257,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,2,15844,0.38241081064298166,0.38203732246464484,0.0003734881783369384,0.06261045190608432,0.10773794496339308,0.07259136208407407,0.5373011865690482,0.1801943953547084,0.0983779348649331,0.6,0.5047336531178995,992,1707,13145,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,3,15844,0.38284336065087593,0.38159433865871994,0.001249021992156016,0.03622822519565766,0.07251956576622065,0.06293845886512059,0.5620424135319364,0.1141125978288311,0.06008583690987125,0.55,0.5347765715728351,574,1149,14121,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,1,15844,0.3825103328515557,0.3841293779489628,-0.0016190450974071153,0.1141125978288311,0.2406589245140116,0.05991960551131665,0.0,0.46610704367583944,0.08787238071194142,0.30000000000000004,0.5083312294875032,1808,3813,10223,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,2,15844,0.3813342971086706,0.38203732246464484,-0.0007030253559741734,0.11234536733148195,0.2474122696288816,0.05553877773204863,0.0,0.4693259277960111,0.08941555162837668,0.30000000000000004,0.5047336531178995,1780,3920,10144,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,3,15844,0.38236814274689657,0.38159433865871994,0.0007738040881766808,0.09202221661196668,0.24147942438778086,0.046423276108724466,0.0,0.43631658672052515,0.07302764453420854,0.25,0.5347765715728351,1458,3826,10560,7922
test,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,1,19804,0.3762308400258648,0.37537340126984575,0.0008574387560191334,0.023783074126439104,0.05029287012724702,0.03841713250176232,0.6644112300545344,0.07771157341951121,0.024830842254090085,0.30000000000000004,0.5119672793375075,471,996,18337,9902
test,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,2,19804,0.3754590562191279,0.3748110422730253,0.0006480139461024979,0.026711775398909312,0.059129468794182995,0.04545888944475264,0.6689557665118158,0.08983033730559482,0.028567461118965864,0.30000000000000004,0.5094930317107655,529,1171,18104,9902
test,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,3,19804,0.37415231148567196,0.3735155328204642,0.0006367786652078133,0.011159361745101999,0.029085033326600687,0.032377500722168474,0.6812260149464755,0.04170874570793779,0.013565441324984853,0.0,0.5419612199555646,221,576,19007,9902
test,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,1,19804,0.34752457077943477,0.37537340126984575,-0.027848830490410943,0.3346798626540093,0.35497879216319933,0.14453102112822372,0.0,1.0,0.46595637245001004,0.65,0.0,6628,7030,6146,9902
test,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,2,19804,0.34425745367139726,0.3748110422730253,-0.030553588601628132,0.33407392445970513,0.36538073116542114,0.1549783894348939,0.0,1.0,0.46919561704706125,0.65,0.0,6616,7236,5952,9902
test,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,3,19804,0.3521319768626767,0.3735155328204642,-0.021383555957787414,0.31084629367804484,0.3716420925065643,0.13890436479862808,0.0,1.0,0.44667743890123207,0.65,0.0,6156,7360,6288,9902
