pair,label,dataset,split,partition,group,defined_relations,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
db15k_mhyper_native,D-N,db15k,test,frequency,100-999,68,17304,2884,68,0.29125429206220965,9.399572262401575e-06,0.4256323485160964,0.4256646212499876,3.22727338912276e-05,0.0008799363640625433,0.0008476636301713155,0.014678687008784096,0.03247803975959316,0.08743643088303282,0.8310217290799815
db15k_mhyper_native,D-N,db15k,test,frequency,1000+,19,39678,6613,19,0.6678448798222582,-7.783238600222099e-05,0.35229464221014245,0.35217809959919527,-0.00011654261094722399,0.0003570383808044372,0.0004735809917516613,0.014365643429608348,0.03485558747920762,0.07550783809667826,0.8041735974595494
db15k_mhyper_native,D-N,db15k,test,named_group,R1,1,8070,1345,1,0.13583114522318723,0.0,0.38037101757093106,0.38037101757093106,0.0,0.0,0.0,0.0,0.0,0.0,0.6454770755885998
db15k_mhyper_native,D-N,db15k,test,named_group,R2,1,4572,762,1,0.07695415067663099,1.1263629200082316e-06,0.10379328553729314,0.103807922342587,1.4636805293860248e-05,0.0003272043001603458,0.00031256749486648555,0.0336832895888014,0.09273840769903761,0.1441382327209099,0.7760279965004374
db15k_mhyper_native,D-N,db15k,test,named_group,R3,1,3864,644,1,0.06503736618864876,-2.1665137019600917e-05,0.2343485401859168,0.23401542188348187,-0.00033311830243491964,0.00022662480646520815,0.0005597431089001279,0.02251552795031056,0.04606625258799172,0.08799171842650104,0.8731884057971014
db15k_mhyper_native,D-N,db15k,test,named_group,R4,1,3000,500,1,0.05049484952534841,-5.591633419467037e-06,0.2552688678578486,0.25515813114960945,-0.00011073670823912522,0.0001604841133480916,0.00027122082158721674,0.009333333333333334,0.026,0.051666666666666666,0.9273333333333333
db15k_mhyper_native,D-N,db15k,test,named_group,R5,1,2178,363,1,0.03665926075540295,-1.062009680794866e-05,0.3630592091211099,0.36276951160432674,-0.0002896975167832166,0.0017218139758043407,0.0020115114925875572,0.03489439853076217,0.09412304866850321,0.18319559228650137,0.7672176308539945
db15k_mhyper_native,D-N,db15k,test,named_group,Other,274,37728,6288,186,0.6350232276307817,-4.447275030385921e-05,0.4306495175548099,0.43057948428930276,-7.003326550712689e-05,0.0006694206950614521,0.0007394539605685788,0.013279262086513996,0.030057251908396948,0.08282972858354538,0.8394826123833757
db15k_mhyper_adamf,D-A,db15k,dev_oof,frequency,Train-zero,6,0,0,0,0.0,0.0,,,,,,,,,
db15k_mhyper_adamf,D-A,db15k,dev_oof,frequency,1-99,186,1968,328,101,0.04140368593789447,-4.5431907282364166e-05,0.39273292976531315,0.3916356383949141,-0.0010972913703990515,0.00023755966324534583,0.0013348510336443973,0.00508130081300813,0.009654471544715448,0.016260162601626018,0.9776422764227642
db15k_mhyper_adamf,D-A,db15k,dev_oof,frequency,100-999,68,13854,2309,68,0.2914668013127998,4.213639873929634e-05,0.42720084473362924,0.4273454114511748,0.00014456671754556328,0.00019221171437030702,4.764499682474382e-05,0.0009383571531687599,0.00281507145950628,0.003969972571098599,0.9935758625667678
db15k_mhyper_adamf,D-A,db15k,dev_oof,frequency,1000+,19,31710,5285,19,0.6671295127493058,3.973883180738859e-05,0.3624656888787171,0.36252525577097405,5.9566892256978695e-05,0.00014263300099699765,8.3066108740019e-05,0.0006622516556291391,0.001292967518133081,0.0027120782087669505,0.9397666351308736
