pair,method,base_seed,selector_seed,direction,mrr,delta_vs_global,n
mkgw_mhyper_adamf,Query-soft,2,-1,tail,0.5099248010625674,-0.024040652362068753,4274
mkgw_mhyper_adamf,Query-soft,3,-1,head,0.17326351047745836,-0.01075717069354143,4274
mkgw_mhyper_adamf,Query-soft,3,-1,tail,0.511359065922624,-0.02401716322909646,4274
db15k_mhyper_native,R1_source,1,11,head,0.2379380766157451,0.0014050806144516356,9902
db15k_mhyper_native,R1_source,1,11,tail,0.5125623732472216,-0.00165143329117619,9902
db15k_mhyper_native,R1_source,1,23,head,0.23755475389059766,0.0010217578893041376,9902
db15k_mhyper_native,R1_source,1,23,tail,0.5110507868963664,-0.003163019642031495,9902
db15k_mhyper_native,R1_source,1,37,head,0.2380583136113944,0.001525317610100882,9902
db15k_mhyper_native,R1_source,1,37,tail,0.512184463302293,-0.0020293432361049883,9902
db15k_mhyper_native,R1_source,2,11,head,0.2389213300627709,1.9893708206912643e-05,9902
db15k_mhyper_native,R1_source,2,11,tail,0.508447837577735,-0.0022728106137516993,9902
db15k_mhyper_native,R1_source,2,23,head,0.239198990870336,0.0002975545157720164,9902
db15k_mhyper_native,R1_source,2,23,tail,0.5103631631694661,-0.00035748502202063173,9902
db15k_mhyper_native,R1_source,2,37,head,0.2409386624550103,0.002037226100446314,9902
db15k_mhyper_native,R1_source,2,37,tail,0.509919002143822,-0.0008016460476646448,9902
db15k_mhyper_native,R1_source,3,11,head,0.23711263776581418,0.0008691758773955053,9902
db15k_mhyper_native,R1_source,3,11,tail,0.5058468553318193,-0.004940748420690309,9902
db15k_mhyper_native,R1_source,3,23,head,0.23749433290429858,0.0012508710158798749,9902
db15k_mhyper_native,R1_source,3,23,tail,0.5091025317241555,-0.001685072028354013,9902
db15k_mhyper_native,R1_source,3,37,head,0.23780192331107072,0.0015584614226520394,9902
db15k_mhyper_native,R1_source,3,37,tail,0.5025556760097188,-0.008231927742790806,9902
db15k_mhyper_native,R2_init,1,11,head,0.2380541352373196,0.0015211392360261209,9902
db15k_mhyper_native,R2_init,1,11,tail,0.5141839589846009,-2.9847553796916346e-05,9902
db15k_mhyper_native,R2_init,1,23,head,0.23747537965942592,0.0009423836581324343,9902
db15k_mhyper_native,R2_init,1,23,tail,0.5138794301157505,-0.0003343764226473393,9902
db15k_mhyper_native,R2_init,1,37,head,0.2375636743897902,0.0010306783884966985,9902
db15k_mhyper_native,R2_init,1,37,tail,0.5145146356779079,0.0003008291395099097,9902
db15k_mhyper_native,R2_init,2,11,head,0.23986614478508173,0.0009647084305177258,9902
db15k_mhyper_native,R2_init,2,11,tail,0.5095537410942041,-0.001166907097282652,9902
db15k_mhyper_native,R2_init,2,23,head,0.23938091995888963,0.000479483604325642,9902
db15k_mhyper_native,R2_init,2,23,tail,0.5091147023442,-0.00160594584728678,9902
db15k_mhyper_native,R2_init,2,37,head,0.2395104012077745,0.00060896485321051,9902
db15k_mhyper_native,R2_init,2,37,tail,0.510966327057082,0.00024567886559524304,9902
db15k_mhyper_native,R2_init,3,11,head,0.2374062624159721,0.0011628005275534086,9902
db15k_mhyper_native,R2_init,3,11,tail,0.5097189754862653,-0.00106862826624424,9902
db15k_mhyper_native,R2_init,3,23,head,0.23767892109220295,0.0014354592037842768,9902
db15k_mhyper_native,R2_init,3,23,tail,0.5087469349148591,-0.0020406688376505226,9902
db15k_mhyper_native,R2_init,3,37,head,0.23751377276852895,0.0012703108801102605,9902
db15k_mhyper_native,R2_init,3,37,tail,0.5073854334366145,-0.0034021703158950657,9902
db15k_mhyper_native,R3_softplus_fixed,1,11,head,0.23759036291860916,0.0010573669173156693,9902
db15k_mhyper_native,R3_softplus_fixed,1,11,tail,0.5121854019064077,-0.0020284046319900915,9902
db15k_mhyper_native,R3_softplus_fixed,1,23,head,0.2375776183496357,0.0010446223483421928,9902
db15k_mhyper_native,R3_softplus_fixed,1,23,tail,0.511854992595683,-0.0023588139427148974,9902
db15k_mhyper_native,R3_softplus_fixed,1,37,head,0.237921834104161,0.0013888381028675106,9902
db15k_mhyper_native,R3_softplus_fixed,1,37,tail,0.5118859764405849,-0.002327830097812974,9902
db15k_mhyper_native,R3_softplus_fixed,2,11,head,0.2396933597592529,0.0007919234046889405,9902
db15k_mhyper_native,R3_softplus_fixed,2,11,tail,0.5079810283940357,-0.0027396197974510848,9902
db15k_mhyper_native,R3_softplus_fixed,2,23,head,0.23954007516051748,0.000638638805953461,9902
db15k_mhyper_native,R3_softplus_fixed,2,23,tail,0.5094891927323342,-0.0012314554591526371,9902
db15k_mhyper_native,R3_softplus_fixed,2,37,head,0.2397356501555563,0.000834213800992322,9902
db15k_mhyper_native,R3_softplus_fixed,2,37,tail,0.5094780216046746,-0.0012426265868121975,9902
db15k_mhyper_native,R3_softplus_fixed,3,11,head,0.2371562074274238,0.0009127455390051287,9902
db15k_mhyper_native,R3_softplus_fixed,3,11,tail,0.5076635473143002,-0.0031240564382094024,9902
db15k_mhyper_native,R3_softplus_fixed,3,23,head,0.237639078083359,0.0013956161949403008,9902
db15k_mhyper_native,R3_softplus_fixed,3,23,tail,0.5082375822408352,-0.00255002151167445,9902
db15k_mhyper_native,R3_softplus_fixed,3,37,head,0.23664370613053856,0.0004002442421198432,9902
db15k_mhyper_native,R3_softplus_fixed,3,37,tail,0.5078704172994712,-0.0029171864530382692,9902
db15k_mhyper_native,R3_softplus,1,11,head,0.2371968882447698,0.0006638922434763051,9902
db15k_mhyper_native,R3_softplus,1,11,tail,0.5147177381164976,0.0005039315780997074,9902
db15k_mhyper_native,R3_softplus,1,23,head,0.2372717632415765,0.0007387672402830171,9902
db15k_mhyper_native,R3_softplus,1,23,tail,0.5149469366876104,0.0007331301492124394,9902
db15k_mhyper_native,R3_softplus,1,37,head,0.23719069910659546,0.0006577031053019246,9902
db15k_mhyper_native,R3_softplus,1,37,tail,0.5146662442381438,0.00045243769974592134,9902
db15k_mhyper_native,R3_softplus,2,11,head,0.2388944216947549,-7.014659809073293e-06,9902
db15k_mhyper_native,R3_softplus,2,11,tail,0.51081073927455,9.009108306324728e-05,9902
db15k_mhyper_native,R3_softplus,2,23,head,0.23904331724157044,0.0001418808870064422,9902
db15k_mhyper_native,R3_softplus,2,23,tail,0.5108693069078997,0.00014865871641297958,9902
