pair,split,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_adamf,test,Query-soft_continuous,25644,0.3406011850722707,0.3597209394760818,-0.019119754403811015,0.26396038059585086,0.433239744189674,0.6972001247855248,0.14674383142756792,0.038734557593714206,0.019614803189903187,1.0,0.4833456210497222
db15k_mhyper_native,test,Global,59412,0.37456665878777845,0.37456665878777845,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_mhyper_native,test,ADC_grid_005,59412,0.37448543553314756,0.37456665878777845,-8.122325463086757e-05,0.014239547566148253,0.033983033730559484,0.048222581296707735,0.04336259985729121,0.0006174638032597515,0.000536240548628884,0.07873830202652662,0.007954621961893218
db15k_mhyper_native,test,ADC_grid_001,59412,0.37448265630933864,0.37456665878777845,-8.400247843973095e-05,0.013566282905810275,0.03362956978388204,0.04719585268969232,0.041836783031431034,0.0005675696344733962,0.0004835671560336654,0.07873830202652662,0.007203931865616371
db15k_mhyper_native,test,ADC_continuous,59412,0.3744864596881241,0.37456665878777845,-8.019909965434262e-05,0.013515788056284925,0.03366323301689894,0.04717902107318387,0.041452945659099405,0.0005602692278370838,0.0004800701281827411,0.07873830202652662,0.007195311071421717
db15k_mhyper_native,test,Query-soft_grid_005,59412,0.3609900858955428,0.37456665878777845,-0.013576572892235649,0.3007304921564667,0.3669797347337238,0.6677102268901906,0.11888011024879507,0.035750874062735166,0.022174301170499514,1.0,0.49111711438766587
db15k_mhyper_native,test,Query-soft_grid_001,59412,0.3607828159818456,0.37456665878777845,-0.013783842805932792,0.30145425166633005,0.36713121928229986,0.6685854709486299,0.1195458977704596,0.03603761915217349,0.022253776346240695,1.0,0.4918075472968424
db15k_mhyper_native,test,Query-soft_continuous,59412,0.3616060942538383,0.37456665878777845,-0.012960564533940122,0.2996869319329428,0.3671817141318252,0.666868646064768,0.11739091085554114,0.03518052191111072,0.022219957377170595,1.0,0.4917253928575554
db15k_mhyper_adamf,test,Global,59412,0.37456665878777845,0.37456665878777845,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,test,ADC_grid_005,59412,0.37477821237709275,0.37456665878777845,0.00021155358931433234,0.0009425705244731704,0.002928701272470208,0.0038712717969433784,0.05127641959475695,4.833164171053641e-05,0.00025988523102486873,0.0044940416077560085,0.0013869252002962369
