dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,26,head,3,1,2,0,2,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,26,tail,3,1,1,0,1,1.0,-1.0,False,60
mkg_y,mkg_y_native_adamf,direction,,head,7995,2665,5259,2242,3017,0.5736832097356912,-0.1473664194713824,True,60
mkg_y,mkg_y_native_adamf,direction,,tail,7995,2665,5285,2247,3038,0.5748344370860927,-0.14966887417218544,True,60
mkg_y,mkg_y_native_adamf,relation,0,,438,73,348,140,208,0.5977011494252874,-0.19540229885057472,True,60
mkg_y,mkg_y_native_adamf,relation,1,,1986,331,579,223,356,0.614853195164076,-0.229706390328152,True,60
mkg_y,mkg_y_native_adamf,relation,2,,810,135,652,306,346,0.5306748466257669,-0.06134969325153374,True,60
mkg_y,mkg_y_native_adamf,relation,3,,2490,415,1703,694,1009,0.5924838520258368,-0.1849677040516735,True,60
mkg_y,mkg_y_native_adamf,relation,4,,2238,373,774,275,499,0.6447028423772609,-0.28940568475452194,True,60
mkg_y,mkg_y_native_adamf,relation,5,,774,129,416,175,241,0.5793269230769231,-0.15865384615384615,True,60
mkg_y,mkg_y_native_adamf,relation,6,,1110,185,865,398,467,0.5398843930635838,-0.07976878612716763,True,60
mkg_y,mkg_y_native_adamf,relation,7,,84,14,51,14,37,0.7254901960784313,-0.45098039215686275,True,60
mkg_y,mkg_y_native_adamf,relation,8,,270,45,66,34,32,0.5151515151515151,0.030303030303030304,True,60
mkg_y,mkg_y_native_adamf,relation,9,,4674,779,4308,1899,2409,0.5591922005571031,-0.11838440111420613,True,60
mkg_y,mkg_y_native_adamf,relation,10,,204,34,106,39,67,0.6320754716981132,-0.2641509433962264,True,60
mkg_y,mkg_y_native_adamf,relation,11,,42,7,40,10,30,0.75,-0.5,False,60
mkg_y,mkg_y_native_adamf,relation,12,,474,79,364,173,191,0.5247252747252747,-0.04945054945054945,True,60
mkg_y,mkg_y_native_adamf,relation,13,,54,9,23,4,19,0.8260869565217391,-0.6521739130434783,False,60
mkg_y,mkg_y_native_adamf,relation,14,,6,1,5,4,1,0.8,0.6,False,60
mkg_y,mkg_y_native_adamf,relation,15,,60,10,40,19,21,0.525,-0.05,True,60
mkg_y,mkg_y_native_adamf,relation,16,,12,2,7,2,5,0.7142857142857143,-0.42857142857142855,False,60
mkg_y,mkg_y_native_adamf,relation,17,,120,20,108,48,60,0.5555555555555556,-0.1111111111111111,True,60
mkg_y,mkg_y_native_adamf,relation,18,,36,6,19,9,10,0.5263157894736842,-0.05263157894736842,False,60
mkg_y,mkg_y_native_adamf,relation,19,,6,1,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_native_adamf,relation,20,,6,1,4,0,4,1.0,-1.0,False,60
mkg_y,mkg_y_native_adamf,relation,21,,18,3,6,3,3,0.5,0.0,False,60
mkg_y,mkg_y_native_adamf,relation,22,,12,2,9,1,8,0.8888888888888888,-0.7777777777777778,False,60
mkg_y,mkg_y_native_adamf,relation,23,,42,7,39,18,21,0.5384615384615384,-0.07692307692307693,False,60
mkg_y,mkg_y_native_adamf,relation,24,,6,1,1,0,1,1.0,-1.0,False,60
mkg_y,mkg_y_native_adamf,relation,25,,12,2,6,1,5,0.8333333333333334,-0.6666666666666666,False,60
mkg_y,mkg_y_native_adamf,relation,26,,6,1,2,0,2,1.0,-1.0,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,0,head,219,73,184,81,103,0.5597826086956522,-0.11956521739130435,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,0,tail,219,73,164,59,105,0.6402439024390244,-0.2804878048780488,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,1,head,993,331,311,121,190,0.6109324758842444,-0.22186495176848875,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,1,tail,993,331,268,102,166,0.6194029850746269,-0.23880597014925373,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,2,head,405,135,295,126,169,0.5728813559322034,-0.14576271186440679,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,2,tail,405,135,357,180,177,0.5042016806722689,0.008403361344537815,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,3,head,1245,415,813,331,482,0.5928659286592866,-0.1857318573185732,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,3,tail,1245,415,890,363,527,0.5921348314606741,-0.1842696629213483,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,4,head,1119,373,415,143,272,0.655421686746988,-0.3108433734939759,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,4,tail,1119,373,359,132,227,0.6323119777158774,-0.2646239554317549,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,5,head,387,129,232,111,121,0.521551724137931,-0.04310344827586207,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,5,tail,387,129,184,64,120,0.6521739130434783,-0.30434782608695654,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,6,head,555,185,414,189,225,0.5434782608695652,-0.08695652173913043,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,6,tail,555,185,451,209,242,0.5365853658536586,-0.07317073170731707,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,7,head,42,14,38,11,27,0.7105263157894737,-0.42105263157894735,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,7,tail,42,14,13,3,10,0.7692307692307693,-0.5384615384615384,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,8,head,135,45,29,15,14,0.5172413793103449,0.034482758620689655,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,8,tail,135,45,37,19,18,0.5135135135135135,0.02702702702702703,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,9,head,2337,779,2116,946,1170,0.552930056710775,-0.10586011342155009,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,9,tail,2337,779,2192,953,1239,0.5652372262773723,-0.13047445255474452,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,10,head,102,34,79,31,48,0.6075949367088608,-0.21518987341772153,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,10,tail,102,34,27,8,19,0.7037037037037037,-0.4074074074074074,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,11,head,21,7,20,4,16,0.8,-0.6,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,11,tail,21,7,20,6,14,0.7,-0.4,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,12,head,237,79,167,68,99,0.592814371257485,-0.18562874251497005,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,12,tail,237,79,197,105,92,0.5329949238578681,0.06598984771573604,True,60
mkg_y,mkg_y_native_adamf,relation_x_direction,13,head,27,9,14,2,12,0.8571428571428571,-0.7142857142857143,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,13,tail,27,9,9,2,7,0.7777777777777778,-0.5555555555555556,False,60
mkg_y,mkg_y_native_adamf,relation_x_direction,14,head,3,1,2,1,1,0.5,0.0,False,60
